epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.40751,1.23027,1.7766,1.26651,0.64602,0.5358,0.59366,0.43633,1.0736,1.01746,1.0446,8.33e-06,8.33e-06,8.33e-06
2,2.83046,1.29373,1.70346,1.2628,0.66147,0.52214,0.60359,0.4424,1.0721,0.98837,1.04367,1.76733e-05,1.76733e-05,1.76733e-05
3,4.19427,1.25273,1.69961,1.23804,0.66044,0.53592,0.60646,0.44524,1.07188,0.97824,1.04297,2.68281e-05,2.68281e-05,2.68281e-05
4,5.54861,1.30667,1.57201,1.25778,0.6543,0.54279,0.60991,0.44686,1.07298,0.96698,1.04317,3.57944e-05,3.57944e-05,3.57944e-05
5,7.12276,1.2087,1.54119,1.19744,0.77519,0.51723,0.61979,0.45643,1.06851,0.97124,1.03966,4.45722e-05,4.45722e-05,4.45722e-05
6,8.49133,1.25816,1.4371,1.21877,0.7729,0.52999,0.62448,0.46013,1.05152,1.00397,1.02938,5.31615e-05,5.31615e-05,5.31615e-05
7,9.86496,1.16856,1.29877,1.1808,0.75204,0.53327,0.62578,0.46075,1.04356,1.01787,1.02594,6.15623e-05,6.15623e-05,6.15623e-05
8,11.2444,1.13506,1.24686,1.14506,0.72239,0.55413,0.63432,0.46898,1.03405,1.00698,1.02203,6.97746e-05,6.97746e-05,6.97746e-05
9,12.5888,1.21537,1.26249,1.17157,0.72047,0.56771,0.6535,0.48913,1.02845,0.98057,1.01958,7.77984e-05,7.77984e-05,7.77984e-05
10,13.9394,1.15046,1.22458,1.16371,0.72157,0.59008,0.66203,0.49296,1.02852,0.96298,1.02021,8.56337e-05,8.56337e-05,8.56337e-05
11,15.3188,1.08555,1.1262,1.13499,0.74432,0.59658,0.67321,0.5028,1.02024,0.92122,1.01336,9.32805e-05,9.32805e-05,9.32805e-05
12,16.6894,1.18047,1.22446,1.19244,0.75769,0.59341,0.67936,0.50799,1.01997,0.87851,1.01186,0.000100739,0.000100739,0.000100739
13,18.1495,1.09879,1.05855,1.13554,0.76564,0.60023,0.68711,0.51627,1.01058,0.84338,1.00708,0.000104863,0.000104863,0.000104863
14,19.4839,1.14006,1.08383,1.15159,0.79396,0.5915,0.6916,0.52285,1.00786,0.82136,1.00418,0.000103685,0.000103685,0.000103685
15,20.845,1.1405,1.05977,1.14607,0.79069,0.59562,0.69378,0.52621,1.0082,0.80497,1.00187,0.000102507,0.000102507,0.000102507
16,22.173,1.10331,1.06928,1.12813,0.79052,0.60602,0.69901,0.53207,1.00153,0.79273,0.99862,0.000101329,0.000101329,0.000101329
17,23.5775,1.0854,1.04602,1.13686,0.79933,0.6182,0.70554,0.53974,0.99261,0.77687,0.99244,0.00010015,0.00010015,0.00010015
18,25.0108,1.10487,1.0533,1.14548,0.76794,0.66481,0.71992,0.54901,0.98424,0.76735,0.98896,9.89723e-05,9.89723e-05,9.89723e-05
19,26.438,1.14682,1.09373,1.12876,0.82811,0.6241,0.72085,0.55029,0.97841,0.76518,0.98686,9.77942e-05,9.77942e-05,9.77942e-05
20,27.8341,1.00717,0.97177,1.08855,0.80034,0.63623,0.72033,0.54945,0.97277,0.75928,0.98319,9.66161e-05,9.66161e-05,9.66161e-05
21,29.2729,1.10364,1.01114,1.11629,0.78687,0.66197,0.72274,0.55508,0.96648,0.75225,0.98006,9.5438e-05,9.5438e-05,9.5438e-05
22,30.6478,1.10889,1.01395,1.12075,0.7835,0.66438,0.72757,0.55909,0.95871,0.74102,0.97629,9.42599e-05,9.42599e-05,9.42599e-05
23,32.0148,1.01871,0.97396,1.0817,0.76507,0.68134,0.73036,0.55898,0.96161,0.73136,0.97356,9.30818e-05,9.30818e-05,9.30818e-05
24,33.3622,1.04889,0.99681,1.09919,0.76423,0.69092,0.73,0.56306,0.95595,0.72124,0.97059,9.19037e-05,9.19037e-05,9.19037e-05
