epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.83223,1.01056,1.18469,1.1415,0.74564,0.7061,0.77336,0.60398,0.84215,0.63814,0.95062,1.428e-05,1.428e-05,1.428e-05
2,7.66357,1.04552,1.04339,1.17708,0.80136,0.71343,0.78727,0.61786,0.82724,0.63217,0.94553,2.38595e-05,2.38595e-05,2.38595e-05
3,11.5372,1.09663,0.99971,1.16603,0.79998,0.72258,0.78691,0.62407,0.81845,0.62544,0.9414,2.73129e-05,2.73129e-05,2.73129e-05
4,15.3873,0.97508,0.88744,1.10581,0.81752,0.71793,0.78793,0.62823,0.81432,0.6068,0.94059,2.46401e-05,2.46401e-05,2.46401e-05
5,19.1995,0.9623,0.87191,1.10574,0.8177,0.72871,0.79059,0.6298,0.80846,0.59818,0.93759,1.58413e-05,1.58413e-05,1.58413e-05
