feature,mean_abs_shap
batch,0.19792418
avg_mem,0.008909979
throughput_var_ratio,0.0058251554
step_time_p95,0.0036039955
step_time_slope,0.0035381305
throughput,0.0031916725
gpu_util_p95,0.002644932
mem_util_p95,0.0024501204
gpu_util_mean,0.0023309428
power_slope,0.0023278
step_time_std,0.0021596202
temp_mean,0.00183428
energy_per_img,0.001787324
pwr_p95,0.0017468261
mem_util_std,0.0016617433
pwr_std,0.0016609852
gpu_util_slope,0.0015591807
power_range,0.0015158174
pwr_mean,0.0014779337
sm_clock_mean,0.0013398041
mem_util_mean,0.0011143973
power_peak_to_mean,0.001024609
step_time_cv,0.000976681
gpu_util_std,0.000763662
power_limit_w,0.0006162611
temp_max,0.0
mem_clock_mean,0.0
temp_slope,0.0
vram_total_mb,0.0
is65W,0.0
