epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.076,0.89273,0.89411,1.10908,0.79076,0.73698,0.80845,0.66758,0.74356,0.50924,0.93638,7.14e-06,7.14e-06,7.14e-06
2,33.7889,0.91828,0.8166,1.15034,0.78193,0.76551,0.81713,0.66491,0.73373,0.56188,0.92531,1.47042e-05,1.47042e-05,1.47042e-05
3,59.8962,0.90035,0.69241,1.08008,0.83584,0.74842,0.82912,0.67407,0.72503,0.53635,0.91467,2.14438e-05,2.14438e-05,2.14438e-05
4,83.2215,0.86769,0.67387,1.05572,0.83137,0.76098,0.83137,0.67968,0.73331,0.49817,0.91882,2.73587e-05,2.73587e-05,2.73587e-05
5,110.029,0.8249,0.6053,1.04508,0.86017,0.75885,0.83969,0.68506,0.71888,0.48581,0.90561,3.24489e-05,3.24489e-05,3.24489e-05
6,138.68,0.85124,0.63306,1.05072,0.89202,0.76414,0.84397,0.69013,0.70949,0.44796,0.90235,3.67145e-05,3.67145e-05,3.67145e-05
7,165.11,0.83083,0.62476,1.06881,0.84043,0.80593,0.85373,0.71132,0.69297,0.42197,0.89253,4.01554e-05,4.01554e-05,4.01554e-05
8,194.177,0.83624,0.61044,1.02759,0.86252,0.79834,0.85757,0.71374,0.70836,0.43155,0.894,4.27716e-05,4.27716e-05,4.27716e-05
9,220.1,0.81621,0.60621,1.02645,0.90258,0.80041,0.86227,0.72234,0.70437,0.43514,0.89318,4.45631e-05,4.45631e-05,4.45631e-05
10,248.312,0.75284,0.54897,1.00063,0.89974,0.81089,0.87051,0.74131,0.65622,0.40961,0.88313,4.553e-05,4.553e-05,4.553e-05
11,278.814,0.70912,0.49143,0.94136,0.90569,0.79591,0.8726,0.74677,0.6447,0.39427,0.87813,4.56722e-05,4.56722e-05,4.56722e-05
12,306.335,0.73082,0.50076,0.96314,0.88788,0.79104,0.87342,0.74516,0.64015,0.4143,0.87289,4.49897e-05,4.49897e-05,4.49897e-05
13,334.169,0.69174,0.48847,0.92554,0.92062,0.79361,0.87948,0.75159,0.62253,0.37095,0.86442,4.34826e-05,4.34826e-05,4.34826e-05
14,359.201,0.70481,0.43521,0.937,0.88233,0.83059,0.88285,0.75753,0.61402,0.36911,0.85859,4.11508e-05,4.11508e-05,4.11508e-05
15,388.22,0.66075,0.42332,0.91412,0.901,0.83256,0.88651,0.75714,0.60838,0.36544,0.85355,3.6533e-05,3.6533e-05,3.6533e-05
16,415.082,0.67088,0.43539,0.91277,0.91066,0.8265,0.88583,0.7575,0.58836,0.34997,0.84686,3.06425e-05,3.06425e-05,3.06425e-05
17,441.735,0.63635,0.41746,0.91214,0.91344,0.82639,0.88475,0.75673,0.57698,0.34262,0.84206,2.4752e-05,2.4752e-05,2.4752e-05
18,470.245,0.65927,0.41117,0.89395,0.9215,0.83953,0.89083,0.76056,0.57257,0.33813,0.84081,1.88615e-05,1.88615e-05,1.88615e-05
19,497.117,0.64318,0.40887,0.90882,0.92917,0.83412,0.88978,0.76562,0.5667,0.33312,0.8374,1.2971e-05,1.2971e-05,1.2971e-05
20,521.538,0.60034,0.37249,0.88579,0.93078,0.83297,0.88943,0.76713,0.56478,0.33087,0.83619,7.0805e-06,7.0805e-06,7.0805e-06
