epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.90103,1.0111,1.42757,1.1624,0.77494,0.67535,0.76302,0.59677,0.85152,0.64621,0.95206,3.689e-05,3.689e-05,3.689e-05
2,9.8358,1.13238,1.21236,1.19601,0.78966,0.68387,0.75516,0.58771,0.86352,0.71914,0.95659,6.01259e-05,6.01259e-05,6.01259e-05
3,14.3347,1.06096,1.10752,1.14594,0.80261,0.68512,0.76058,0.58901,0.855,0.70279,0.95879,6.82822e-05,6.82822e-05,6.82822e-05
4,18.7957,1.05687,1.03504,1.13814,0.79486,0.70163,0.76756,0.59521,0.84928,0.68111,0.95379,4.8314e-05,4.8314e-05,4.8314e-05
5,23.3032,1.04321,1.08999,1.16427,0.7912,0.68947,0.76815,0.59876,0.8449,0.67072,0.94876,2.4752e-05,2.4752e-05,2.4752e-05
