epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.77033,1.24692,1.83299,1.25682,0.65116,0.54829,0.59317,0.43974,1.05689,0.9941,1.04222,4.76e-06,4.76e-06,4.76e-06
2,3.10508,1.32629,1.71343,1.25805,0.65416,0.55281,0.59718,0.44402,1.0604,0.99223,1.04424,1.01799e-05,1.01799e-05,1.01799e-05
3,4.41257,1.24842,1.66612,1.23882,0.63777,0.55397,0.59189,0.44182,1.05648,0.96886,1.04198,1.50107e-05,1.50107e-05,1.50107e-05
4,5.77319,1.30128,1.66689,1.24424,0.647,0.542,0.59972,0.44765,1.05551,0.94908,1.04016,1.92524e-05,1.92524e-05,1.92524e-05
5,7.14844,1.25013,1.50827,1.23201,0.75714,0.50329,0.61011,0.45469,1.05071,0.93226,1.0369,2.29051e-05,2.29051e-05,2.29051e-05
6,8.50106,1.2245,1.48384,1.20008,0.78044,0.51066,0.62728,0.46283,1.04828,0.9286,1.03535,2.59688e-05,2.59688e-05,2.59688e-05
7,9.85178,1.22483,1.42715,1.20241,0.7445,0.5451,0.63475,0.47408,1.03258,0.93037,1.02839,2.84434e-05,2.84434e-05,2.84434e-05
8,11.2353,1.25707,1.40681,1.21415,0.77193,0.53232,0.6397,0.47429,1.02639,0.93006,1.02643,3.03289e-05,3.03289e-05,3.03289e-05
9,12.5589,1.20908,1.30827,1.19401,0.78012,0.53713,0.64126,0.47948,1.01914,0.92004,1.02422,3.16254e-05,3.16254e-05,3.16254e-05
10,13.8291,1.15575,1.24998,1.18553,0.80449,0.53302,0.64601,0.48652,1.01208,0.91779,1.0216,3.23329e-05,3.23329e-05,3.23329e-05
11,19.3057,1.10782,1.10742,1.10105,0.80176,0.54069,0.64935,0.49019,1.00355,0.91304,1.01515,3.24513e-05,3.24513e-05,3.24513e-05
12,20.5632,1.10845,1.0988,1.1091,0.78751,0.54771,0.65753,0.49802,0.99696,0.89945,1.01098,3.19807e-05,3.19807e-05,3.19807e-05
13,21.8755,1.10284,1.09509,1.08958,0.77682,0.56745,0.6723,0.5091,0.98698,0.87174,1.00464,3.0921e-05,3.0921e-05,3.0921e-05
14,23.1623,1.06544,1.00214,1.07683,0.78056,0.57694,0.67653,0.51411,0.98182,0.85096,1.00201,2.92722e-05,2.92722e-05,2.92722e-05
15,24.5076,1.0575,0.96971,1.06022,0.79782,0.57109,0.68218,0.51831,0.97536,0.82752,1.00048,2.70344e-05,2.70344e-05,2.70344e-05
16,25.8265,1.10943,0.98585,1.07768,0.81438,0.56705,0.68653,0.52017,0.97236,0.8124,0.99819,2.42076e-05,2.42076e-05,2.42076e-05
17,27.1447,1.01945,0.93561,1.05344,0.80154,0.58015,0.68973,0.52291,0.96769,0.79857,0.99445,2.07917e-05,2.07917e-05,2.07917e-05
18,28.5284,1.0473,0.91948,1.08291,0.82173,0.57152,0.68854,0.52246,0.96456,0.79099,0.99246,1.67867e-05,1.67867e-05,1.67867e-05
19,29.8265,1.05034,0.9267,1.05733,0.8223,0.57485,0.68902,0.52229,0.96222,0.78275,0.99037,1.21927e-05,1.21927e-05,1.21927e-05
20,31.102,1.05289,0.93948,1.07005,0.82086,0.57478,0.68849,0.52263,0.96218,0.78132,0.98925,7.0097e-06,7.0097e-06,7.0097e-06
