epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.2675,0.98582,1.06295,1.12857,0.81581,0.71604,0.80854,0.66883,0.74631,0.52577,0.93894,5.95e-06,5.95e-06,5.95e-06
2,104.334,0.9802,0.90821,1.11809,0.83924,0.72527,0.81535,0.67406,0.74033,0.52182,0.9353,1.2442e-05,1.2442e-05,1.2442e-05
3,155.754,0.8878,0.73238,1.09338,0.84715,0.74316,0.81373,0.67091,0.7325,0.57554,0.93288,1.82272e-05,1.82272e-05,1.82272e-05
4,203.406,0.86782,0.70402,1.08839,0.84845,0.75429,0.82358,0.678,0.72579,0.52549,0.92736,2.33056e-05,2.33056e-05,2.33056e-05
5,255.871,0.79907,0.63073,1.07042,0.86863,0.76496,0.84447,0.69777,0.7094,0.46447,0.91732,2.7677e-05,2.7677e-05,2.7677e-05
6,304.556,0.83086,0.59953,1.04567,0.8941,0.76754,0.85168,0.70581,0.71053,0.43775,0.9183,3.13416e-05,3.13416e-05,3.13416e-05
7,359.76,0.79384,0.5969,1.02443,0.86134,0.80816,0.85475,0.71063,0.69814,0.42762,0.90847,3.42994e-05,3.42994e-05,3.42994e-05
8,419.5,0.78542,0.57863,1.01742,0.87983,0.81149,0.8629,0.71262,0.68635,0.4163,0.90611,3.65503e-05,3.65503e-05,3.65503e-05
9,481.247,0.79475,0.59495,1.01809,0.86943,0.81982,0.87142,0.7198,0.67139,0.40308,0.903,3.80943e-05,3.80943e-05,3.80943e-05
10,538.216,0.78518,0.57298,1.05483,0.89049,0.80622,0.87713,0.73549,0.65152,0.38447,0.89577,3.89314e-05,3.89314e-05,3.89314e-05
11,600.827,0.68998,0.45204,0.92623,0.8794,0.82006,0.87861,0.73983,0.64149,0.37899,0.88541,3.90618e-05,3.90618e-05,3.90618e-05
12,654.814,0.70169,0.53295,0.93685,0.92757,0.80536,0.8812,0.74922,0.63241,0.3664,0.87857,3.84852e-05,3.84852e-05,3.84852e-05
13,707.902,0.65888,0.50288,0.93045,0.94014,0.80679,0.88255,0.75813,0.61464,0.35039,0.86944,3.72018e-05,3.72018e-05,3.72018e-05
14,761.108,0.63261,0.42183,0.92109,0.91059,0.83681,0.88846,0.76337,0.6063,0.34942,0.86637,3.52115e-05,3.52115e-05,3.52115e-05
15,816.938,0.66019,0.42713,0.92749,0.91302,0.82847,0.88965,0.76551,0.60241,0.35199,0.863,3.25144e-05,3.25144e-05,3.25144e-05
16,875.601,0.67269,0.41835,0.90439,0.92241,0.82973,0.89087,0.76821,0.58707,0.34207,0.85635,2.91104e-05,2.91104e-05,2.91104e-05
17,931.482,0.70017,0.42052,0.93655,0.92256,0.83808,0.89437,0.77338,0.58063,0.34008,0.85299,2.4752e-05,2.4752e-05,2.4752e-05
18,989.55,0.66664,0.4331,0.89408,0.92847,0.84123,0.89699,0.76795,0.57149,0.33474,0.85051,1.88615e-05,1.88615e-05,1.88615e-05
19,1047.41,0.62043,0.44858,0.89988,0.92176,0.84442,0.8978,0.766,0.56486,0.32697,0.84871,1.2971e-05,1.2971e-05,1.2971e-05
20,1105.39,0.64081,0.40648,0.91629,0.93831,0.83403,0.89789,0.76773,0.55848,0.32066,0.84679,7.0805e-06,7.0805e-06,7.0805e-06
