epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.57814,1.29643,1.90035,1.2745,0.63973,0.56297,0.5978,0.43876,1.06751,0.99323,1.04144,1.428e-05,1.428e-05,1.428e-05
2,4.5499,1.28306,1.72458,1.27097,0.62585,0.55571,0.5949,0.43864,1.06395,0.96691,1.03894,2.82774e-05,2.82774e-05,2.82774e-05
3,6.41185,1.39579,1.73904,1.31,0.63119,0.55284,0.60787,0.44523,1.06327,0.95132,1.03737,4.07432e-05,4.07432e-05,4.07432e-05
4,8.27185,1.2537,1.58713,1.24356,0.75122,0.53064,0.62152,0.45443,1.06737,0.95162,1.03824,5.16775e-05,5.16775e-05,5.16775e-05
5,10.086,1.27372,1.51132,1.23583,0.77818,0.53004,0.62447,0.46038,1.06973,0.96593,1.03721,6.10803e-05,6.10803e-05,6.10803e-05
6,11.8874,1.28528,1.43036,1.21806,0.76709,0.54646,0.63679,0.46771,1.06365,0.96173,1.03394,6.89516e-05,6.89516e-05,6.89516e-05
7,13.7935,1.27401,1.42188,1.22797,0.78336,0.53272,0.63795,0.472,1.05791,0.95688,1.03108,7.52913e-05,7.52913e-05,7.52913e-05
8,15.5578,1.17504,1.32169,1.19628,0.7543,0.5652,0.65674,0.47933,1.05067,0.95699,1.02832,7.77665e-05,7.77665e-05,7.77665e-05
9,17.3996,1.2003,1.27268,1.17266,0.73814,0.57748,0.66136,0.48663,1.04053,0.94253,1.02637,7.1876e-05,7.1876e-05,7.1876e-05
10,19.2307,1.14925,1.25918,1.15286,0.76972,0.57376,0.66674,0.4986,1.02553,0.91539,1.01874,6.59855e-05,6.59855e-05,6.59855e-05
11,27.772,1.11345,1.23412,1.08596,0.77547,0.57738,0.67353,0.50216,1.02356,0.92081,1.0133,6.0095e-05,6.0095e-05,6.0095e-05
12,29.5063,1.16195,1.20882,1.13154,0.74516,0.60337,0.67606,0.50074,1.01774,0.91509,1.00838,5.42045e-05,5.42045e-05,5.42045e-05
13,31.3055,1.13427,1.1848,1.12059,0.79327,0.58,0.67595,0.50369,1.01254,0.90011,1.00304,4.8314e-05,4.8314e-05,4.8314e-05
14,33.1531,1.13904,1.14563,1.11874,0.66381,0.63166,0.67995,0.50548,1.00358,0.87901,0.99679,4.24235e-05,4.24235e-05,4.24235e-05
15,35.0316,1.10676,1.10289,1.10308,0.69343,0.63195,0.68302,0.50799,0.99845,0.86146,0.99397,3.6533e-05,3.6533e-05,3.6533e-05
16,36.971,1.12796,1.13404,1.10503,0.66911,0.65812,0.68943,0.5145,0.99556,0.8403,0.99388,3.06425e-05,3.06425e-05,3.06425e-05
17,38.699,1.06369,0.99988,1.07814,0.78811,0.58857,0.68533,0.51569,0.99259,0.83128,0.99247,2.4752e-05,2.4752e-05,2.4752e-05
18,40.5888,1.09776,1.09217,1.0906,0.72027,0.63043,0.6897,0.51867,0.99073,0.82474,0.99246,1.88615e-05,1.88615e-05,1.88615e-05
19,42.3293,1.0653,1.02711,1.07773,0.74108,0.62685,0.68939,0.51895,0.98992,0.82295,0.9924,1.2971e-05,1.2971e-05,1.2971e-05
20,44.0891,1.05201,1.0172,1.06364,0.75867,0.60771,0.6915,0.52052,0.99021,0.82389,0.99309,7.0805e-06,7.0805e-06,7.0805e-06
