epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.7041,0.91173,1.0505,1.13203,0.80763,0.73471,0.80475,0.65272,0.7695,0.61304,0.93969,3.689e-05,3.689e-05,3.689e-05
2,14.0843,1.01072,0.95685,1.15566,0.78191,0.76452,0.81311,0.64759,0.79847,0.66749,0.95413,7.1259e-05,7.1259e-05,7.1259e-05
3,21.0464,0.96737,0.90737,1.11373,0.78458,0.75189,0.80163,0.63822,0.79782,0.61353,0.96469,0.000101858,0.000101858,0.000101858
4,28.026,0.93276,0.81839,1.10692,0.82351,0.72516,0.795,0.63946,0.83266,0.63828,0.97277,0.000101329,0.000101329,0.000101329
5,35.2745,0.94102,0.88673,1.12909,0.84272,0.71401,0.7889,0.63975,0.81266,0.61163,0.96406,9.5438e-05,9.5438e-05,9.5438e-05
6,42.3902,0.91347,0.84607,1.10857,0.85095,0.72764,0.78652,0.62971,0.79428,0.60376,0.96563,8.95475e-05,8.95475e-05,8.95475e-05
7,49.6592,0.90966,0.79296,1.1029,0.85846,0.70556,0.80128,0.63083,0.79426,0.56786,0.96367,8.3657e-05,8.3657e-05,8.3657e-05
8,56.7987,0.91301,0.75941,1.09009,0.84912,0.74972,0.81824,0.65613,0.78426,0.53837,0.95852,7.77665e-05,7.77665e-05,7.77665e-05
9,64.3671,0.87752,0.72012,1.07487,0.88808,0.76122,0.84037,0.66622,0.75597,0.52116,0.95268,7.1876e-05,7.1876e-05,7.1876e-05
10,71.7222,0.86596,0.77231,1.09369,0.88613,0.78109,0.85347,0.68859,0.72985,0.49187,0.93933,6.59855e-05,6.59855e-05,6.59855e-05
11,84.747,0.79255,0.64632,1.01217,0.88689,0.78537,0.85808,0.70199,0.72084,0.49826,0.92973,6.0095e-05,6.0095e-05,6.0095e-05
12,92.095,0.77954,0.62703,0.99719,0.8702,0.7919,0.85637,0.70638,0.70936,0.4925,0.91864,5.42045e-05,5.42045e-05,5.42045e-05
13,99.3577,0.74102,0.59065,0.97102,0.88691,0.79514,0.86436,0.71154,0.7034,0.46831,0.91509,4.8314e-05,4.8314e-05,4.8314e-05
14,106.76,0.76886,0.55809,0.99827,0.89676,0.79051,0.86592,0.72418,0.6887,0.45548,0.90746,4.24235e-05,4.24235e-05,4.24235e-05
15,113.966,0.76254,0.5361,0.98537,0.91339,0.79177,0.86483,0.72741,0.68288,0.45861,0.90682,3.6533e-05,3.6533e-05,3.6533e-05
16,121.437,0.71908,0.51925,0.96149,0.91757,0.79618,0.86548,0.72614,0.66863,0.4504,0.89984,3.06425e-05,3.06425e-05,3.06425e-05
17,128.482,0.69562,0.47485,0.95755,0.91384,0.79896,0.86854,0.73037,0.65876,0.44133,0.89363,2.4752e-05,2.4752e-05,2.4752e-05
18,135.762,0.69719,0.46713,0.9536,0.90274,0.80483,0.86855,0.73088,0.65235,0.42943,0.88744,1.88615e-05,1.88615e-05,1.88615e-05
19,143.056,0.70033,0.4718,0.96109,0.89828,0.80338,0.86879,0.73298,0.64645,0.42065,0.88387,1.2971e-05,1.2971e-05,1.2971e-05
20,150.663,0.69358,0.46432,0.94752,0.90098,0.80271,0.87126,0.73631,0.64261,0.41592,0.88166,7.0805e-06,7.0805e-06,7.0805e-06
