epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.73494,1.21096,1.84173,1.24536,0.64308,0.53495,0.58241,0.43737,0.9965,0.91466,1.02046,4.76e-06,4.76e-06,4.76e-06
2,3.06118,1.25423,1.5722,1.22728,0.64106,0.54977,0.58414,0.43782,0.99568,0.90565,1.02379,8.58942e-06,8.58942e-06,8.58942e-06
3,4.39257,1.32552,1.75852,1.28442,0.64411,0.54398,0.59305,0.43914,0.99541,0.89737,1.02385,1.00626e-05,1.00626e-05,1.00626e-05
4,5.72393,1.29838,1.71474,1.2691,0.64321,0.54871,0.59334,0.44072,0.99539,0.88982,1.02477,9.17966e-06,9.17966e-06,9.17966e-06
5,7.07084,1.28424,1.58247,1.26629,0.66472,0.54688,0.59681,0.44524,0.99377,0.88565,1.02458,5.94048e-06,5.94048e-06,5.94048e-06
