epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.1848,0.87813,0.7469,1.04194,0.79588,0.73241,0.81194,0.66801,0.73651,0.511,0.95057,7.14e-06,7.14e-06,7.14e-06
2,70.0521,0.89109,0.68787,1.01866,0.85217,0.74253,0.82315,0.67234,0.70558,0.46488,0.9304,1.39385e-05,1.39385e-05,1.39385e-05
3,110.324,0.7789,0.56773,0.97118,0.87662,0.73476,0.83256,0.69479,0.65626,0.449,0.91215,1.90876e-05,1.90876e-05,1.90876e-05
4,146.75,0.7799,0.58383,0.96062,0.84034,0.77586,0.8462,0.70822,0.64668,0.42421,0.90643,2.25874e-05,2.25874e-05,2.25874e-05
5,191.473,0.70731,0.49223,0.95899,0.82741,0.81185,0.85703,0.71899,0.66956,0.4067,0.90515,2.44378e-05,2.44378e-05,2.44378e-05
6,230.257,0.73405,0.63009,1.0072,0.88043,0.80673,0.86253,0.72162,0.70255,0.37654,0.90918,2.4639e-05,2.4639e-05,2.4639e-05
7,271.34,0.82031,0.53127,0.96523,0.90313,0.80479,0.86996,0.73381,0.69921,0.36512,0.90509,2.31907e-05,2.31907e-05,2.31907e-05
8,315.574,0.75255,0.75513,1.03393,0.90716,0.80406,0.87141,0.73876,0.69627,0.3591,0.90281,2.00932e-05,2.00932e-05,2.00932e-05
9,359.638,0.88392,0.58339,1.05269,0.90697,0.81442,0.8784,0.74961,0.68227,0.35668,0.89039,1.53462e-05,1.53462e-05,1.53462e-05
10,400.907,0.6859,0.44245,0.93019,0.91289,0.80939,0.88039,0.75333,0.67641,0.35058,0.88685,8.94999e-06,8.94999e-06,8.94999e-06
