eta,max_depth,subsample,colsample_bytree,min_child_weight,reg_lambda,avg_top1,avg_best_iter
0.03,4,0.8,0.9,2.0,1.0,0.8428571428571429,9.8
0.03,4,0.8,0.9,2.0,5.0,0.8428571428571429,6.4
0.03,4,0.8,0.9,2.0,10.0,0.8428571428571429,13.6
0.03,4,0.8,0.9,5.0,1.0,0.8761904761904763,7.2
0.03,4,0.8,0.9,5.0,5.0,0.8428571428571429,13.0
0.03,4,0.8,0.9,5.0,10.0,0.8095238095238095,12.2
0.03,4,0.8,1.0,0.5,1.0,0.8095238095238096,3.6
0.03,4,0.8,1.0,0.5,5.0,0.8095238095238096,25.6
0.03,4,0.8,1.0,0.5,10.0,0.7761904761904763,12.2
0.03,4,0.8,1.0,1.0,1.0,0.8095238095238096,5.4
0.03,4,0.8,1.0,1.0,5.0,0.8095238095238096,12.0
0.03,4,0.8,1.0,1.0,10.0,0.7761904761904763,14.2
0.03,4,0.8,1.0,2.0,1.0,0.8761904761904763,15.4
0.03,4,0.8,1.0,2.0,5.0,0.8428571428571429,22.8
0.03,4,0.8,1.0,2.0,10.0,0.8095238095238096,7.8
0.03,4,0.8,1.0,5.0,1.0,0.8428571428571429,7.0
0.03,4,0.8,1.0,5.0,5.0,0.8428571428571429,18.8
0.03,4,0.8,1.0,5.0,10.0,0.8428571428571429,20.8
0.03,4,0.9,0.7,0.5,1.0,0.7761904761904762,23.2
0.03,4,0.9,0.7,0.5,5.0,0.8095238095238096,29.6
0.03,4,0.9,0.7,0.5,10.0,0.8095238095238096,12.8
0.03,4,0.9,0.7,1.0,1.0,0.780952380952381,3.2
0.03,4,0.9,0.7,1.0,5.0,0.8761904761904763,31.8
0.03,4,0.9,0.7,1.0,10.0,0.8095238095238096,10.4
0.03,4,0.9,0.7,2.0,1.0,0.8428571428571429,16.0
0.03,4,0.9,0.7,2.0,5.0,0.8095238095238096,11.0
0.03,4,0.9,0.7,2.0,10.0,0.8428571428571429,21.6
0.03,4,0.9,0.7,5.0,1.0,0.8095238095238095,8.0
0.03,4,0.9,0.7,5.0,5.0,0.8428571428571429,18.2
0.03,4,0.9,0.7,5.0,10.0,0.8380952380952381,17.8
0.03,4,0.9,0.8,0.5,1.0,0.8428571428571429,4.0
0.03,4,0.9,0.8,0.5,5.0,0.8095238095238096,19.6
0.03,4,0.9,0.8,0.5,10.0,0.8095238095238096,16.2
0.03,4,0.9,0.8,1.0,1.0,0.780952380952381,4.2
0.03,4,0.9,0.8,1.0,5.0,0.8095238095238096,16.6
0.03,4,0.9,0.8,1.0,10.0,0.7761904761904763,25.6
0.03,4,0.9,0.8,2.0,1.0,0.8095238095238096,4.0
0.03,4,0.9,0.8,2.0,5.0,0.8428571428571429,16.2
0.03,4,0.9,0.8,2.0,10.0,0.8428571428571429,21.4
