epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.90245,0.92265,0.82193,1.0082,0.74898,0.68748,0.75903,0.59805,0.84379,0.65521,0.95627,5.95e-06,5.95e-06,5.95e-06
2,16.7703,0.89839,0.78978,1.01332,0.84206,0.6568,0.76734,0.60939,0.82945,0.62345,0.95048,1.17941e-05,1.17941e-05,1.17941e-05
3,24.6423,0.86606,0.70645,0.98916,0.85479,0.69017,0.78596,0.626,0.8097,0.59665,0.93852,1.62245e-05,1.62245e-05,1.62245e-05
4,31.6803,0.8706,0.73382,1.01811,0.84979,0.71776,0.80356,0.64665,0.78097,0.57848,0.92401,1.92411e-05,1.92411e-05,1.92411e-05
5,35.706,0.84934,0.64887,1.00976,0.85656,0.7396,0.81003,0.65088,0.7708,0.54744,0.91605,2.0844e-05,2.0844e-05,2.0844e-05
6,39.4734,0.82423,0.62875,0.98925,0.8809,0.74516,0.82372,0.65926,0.76488,0.53018,0.91219,2.10333e-05,2.10333e-05,2.10333e-05
7,43.1778,0.86161,0.61983,0.98894,0.87581,0.74807,0.82681,0.666,0.75529,0.51558,0.90822,1.98087e-05,1.98087e-05,1.98087e-05
8,46.9312,0.80144,0.58768,0.94958,0.84096,0.77227,0.8274,0.67176,0.74116,0.50211,0.90211,1.71705e-05,1.71705e-05,1.71705e-05
9,50.5968,0.85338,0.58107,0.96153,0.86697,0.7669,0.83095,0.67538,0.73214,0.49006,0.89886,1.31186e-05,1.31186e-05,1.31186e-05
10,54.2727,0.80116,0.56213,0.9571,0.87056,0.76561,0.83384,0.68056,0.72465,0.4824,0.89571,7.65289e-06,7.65289e-06,7.65289e-06
