epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.11562,0.95613,0.82445,1.03572,0.75376,0.68089,0.75761,0.59764,0.83501,0.64632,0.95802,5.95e-06,5.95e-06,5.95e-06
2,13.7786,0.92748,0.81179,1.01812,0.78934,0.67209,0.76764,0.60507,0.82174,0.62194,0.94955,1.17941e-05,1.17941e-05,1.17941e-05
3,17.6382,0.83059,0.70639,0.96565,0.77104,0.71696,0.78615,0.62121,0.79917,0.58739,0.93658,1.62245e-05,1.62245e-05,1.62245e-05
4,21.5936,0.97349,0.81074,1.00041,0.8601,0.70521,0.80347,0.63418,0.77991,0.56348,0.92417,1.92411e-05,1.92411e-05,1.92411e-05
5,25.3515,0.81747,0.73234,0.98494,0.87539,0.7237,0.813,0.65613,0.76306,0.53929,0.91174,2.0844e-05,2.0844e-05,2.0844e-05
6,28.9732,0.85473,0.66452,1.00326,0.889,0.71598,0.81599,0.66014,0.75631,0.51907,0.90524,2.10333e-05,2.10333e-05,2.10333e-05
7,32.6092,0.90805,0.85309,1.02381,0.90344,0.7175,0.81963,0.66937,0.74757,0.50731,0.90154,1.98087e-05,1.98087e-05,1.98087e-05
8,36.246,0.76471,0.68295,0.97365,0.90098,0.72515,0.82726,0.67833,0.73849,0.49684,0.89838,1.71705e-05,1.71705e-05,1.71705e-05
9,39.9172,0.87403,0.60602,0.97377,0.89258,0.73743,0.83321,0.68478,0.72838,0.48614,0.89422,1.31186e-05,1.31186e-05,1.31186e-05
10,43.5012,0.78901,0.57939,0.94337,0.85765,0.767,0.83597,0.69077,0.72054,0.47872,0.89081,7.65289e-06,7.65289e-06,7.65289e-06
