T,P,M,Δ,Top1
0.6,0.2,0.1,0.1,0.6666666666666666
0.5,0.3,0.1,0.1,0.3333333333333333
0.5,0.2,0.2,0.1,0.0
0.4,0.3,0.2,0.1,0.0
0.7,0.2,0.05,0.05,0.6666666666666666
