epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.56927,1.29142,2.2774,1.28946,0.64994,0.52477,0.58282,0.43146,1.0858,1.04631,1.04734,3.689e-05,3.689e-05,3.689e-05
2,6.52288,1.42776,2.05438,1.3552,0.63406,0.51539,0.56902,0.41476,1.09342,1.03801,1.05437,7.1259e-05,7.1259e-05,7.1259e-05
3,9.35119,1.32505,1.99985,1.28089,0.75007,0.48532,0.5894,0.42937,1.09071,1.02443,1.05302,0.000101858,0.000101858,0.000101858
4,12.1148,1.34119,1.7578,1.27388,0.73617,0.49888,0.60106,0.43402,1.08966,1.00868,1.05455,0.000101329,0.000101329,0.000101329
5,14.9347,1.26964,1.72512,1.26383,0.58803,0.60366,0.60878,0.44392,1.09176,1.00289,1.05064,9.5438e-05,9.5438e-05,9.5438e-05
6,17.6545,1.28324,1.75155,1.23835,0.7428,0.5276,0.61647,0.44616,1.07819,0.98849,1.04688,8.95475e-05,8.95475e-05,8.95475e-05
7,20.3937,1.30623,1.67433,1.24042,0.73696,0.53506,0.62264,0.45406,1.06661,0.96976,1.04252,8.3657e-05,8.3657e-05,8.3657e-05
8,23.134,1.32369,1.69765,1.25125,0.75488,0.54157,0.63666,0.46451,1.06605,0.9754,1.04263,7.77665e-05,7.77665e-05,7.77665e-05
9,26.1324,1.24744,1.52243,1.2185,0.75158,0.54062,0.6362,0.46768,1.05874,0.96236,1.0402,7.1876e-05,7.1876e-05,7.1876e-05
10,28.9005,1.2372,1.65177,1.23348,0.70667,0.57262,0.64222,0.47167,1.05081,0.95205,1.03599,6.59855e-05,6.59855e-05,6.59855e-05
11,36.0777,1.24277,1.56482,1.18053,0.70098,0.60496,0.6555,0.48139,1.04294,0.9659,1.02073,6.0095e-05,6.0095e-05,6.0095e-05
12,38.966,1.26554,1.68135,1.17815,0.70764,0.58588,0.65411,0.47793,1.04382,1.00524,1.01628,5.42045e-05,5.42045e-05,5.42045e-05
13,41.829,1.19884,1.51838,1.16519,0.716,0.59104,0.65634,0.47705,1.04663,1.01709,1.01368,4.8314e-05,4.8314e-05,4.8314e-05
14,44.6308,1.2936,1.65779,1.19974,0.72521,0.57552,0.6436,0.47223,1.04465,1.01455,1.01261,4.24235e-05,4.24235e-05,4.24235e-05
15,47.4882,1.22361,1.52535,1.17202,0.71917,0.57914,0.64157,0.47327,1.04777,1.01909,1.01543,3.6533e-05,3.6533e-05,3.6533e-05
16,50.4865,1.20192,1.47623,1.1571,0.72427,0.59021,0.65024,0.47641,1.04667,0.99024,1.01563,3.06425e-05,3.06425e-05,3.06425e-05
17,53.2453,1.15034,1.37603,1.1257,0.72341,0.58725,0.65539,0.48452,1.04227,0.98232,1.01263,2.4752e-05,2.4752e-05,2.4752e-05
18,56.2629,1.21212,1.43495,1.16104,0.73664,0.58534,0.64659,0.48182,1.04053,0.99277,1.0107,1.88615e-05,1.88615e-05,1.88615e-05
19,59.0386,1.21019,1.41864,1.15872,0.70999,0.59043,0.65455,0.48667,1.03897,0.98666,1.01012,1.2971e-05,1.2971e-05,1.2971e-05
20,61.8131,1.1613,1.31469,1.1407,0.71542,0.59776,0.65837,0.48841,1.03143,0.97967,1.00499,7.0805e-06,7.0805e-06,7.0805e-06
