epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.85617,1.174,1.23055,1.12111,0.6411,0.53688,0.58543,0.43598,1.02068,0.92227,1.02055,4.76e-06,4.76e-06,4.76e-06
2,7.1836,1.17965,1.32355,1.1164,0.64103,0.53857,0.58535,0.43782,1.01738,0.90426,1.01976,9.64971e-06,9.64971e-06,9.64971e-06
3,8.54286,1.13257,1.15772,1.11876,0.63286,0.55638,0.59805,0.45191,1.01169,0.88434,1.01627,1.33613e-05,1.33613e-05,1.33613e-05
4,9.92156,1.15563,1.25809,1.10473,0.65897,0.5392,0.61063,0.46414,1.00269,0.86843,1.01242,1.58948e-05,1.58948e-05,1.58948e-05
5,11.2721,1.12931,1.19149,1.13288,0.66315,0.55318,0.61799,0.47045,0.99884,0.85586,1.00913,1.72502e-05,1.72502e-05,1.72502e-05
6,12.6694,1.13554,1.21308,1.14066,0.72973,0.51615,0.62652,0.47897,0.98723,0.84438,1.0036,1.74276e-05,1.74276e-05,1.74276e-05
7,14.1869,1.15072,1.12932,1.12621,0.64915,0.58547,0.63904,0.48267,0.98559,0.83818,1.00004,1.64268e-05,1.64268e-05,1.64268e-05
8,15.6334,1.08273,1.05918,1.07079,0.66947,0.5863,0.64819,0.48833,0.98399,0.82738,0.99823,1.42479e-05,1.42479e-05,1.42479e-05
9,17.1021,1.20907,1.15574,1.14781,0.68981,0.57819,0.65237,0.49378,0.97931,0.81772,0.99642,1.08909e-05,1.08909e-05,1.08909e-05
10,18.4007,1.12884,1.00615,1.08709,0.67568,0.5841,0.65328,0.49416,0.97972,0.81361,0.99707,6.35579e-06,6.35579e-06,6.35579e-06
