epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.92809,1.01883,0.89539,1.04563,0.75158,0.62479,0.69822,0.549,0.93047,0.74958,0.98841,4.76e-06,4.76e-06,4.76e-06
2,7.70986,1.00135,0.92688,1.05592,0.72318,0.65469,0.70387,0.55242,0.92784,0.73383,0.98712,9.64971e-06,9.64971e-06,9.64971e-06
3,9.5038,0.99619,0.84631,1.05835,0.7532,0.64465,0.71456,0.5605,0.91693,0.70319,0.98037,1.33613e-05,1.33613e-05,1.33613e-05
4,11.2889,0.99665,0.84094,1.04663,0.74294,0.6695,0.72041,0.56749,0.91088,0.68226,0.97703,1.58948e-05,1.58948e-05,1.58948e-05
5,13.0602,0.98525,0.81307,1.03704,0.73276,0.67601,0.72828,0.57628,0.89487,0.66446,0.96667,1.72502e-05,1.72502e-05,1.72502e-05
6,14.8506,0.9505,0.75472,1.03096,0.73455,0.70243,0.74044,0.58601,0.88292,0.6513,0.95925,1.74276e-05,1.74276e-05,1.74276e-05
7,16.5973,0.93464,0.72977,0.99451,0.7492,0.70495,0.74923,0.59503,0.87714,0.63489,0.95541,1.64268e-05,1.64268e-05,1.64268e-05
8,18.4176,0.93251,0.72126,0.98333,0.75341,0.71017,0.75371,0.59699,0.86888,0.62916,0.94966,1.42479e-05,1.42479e-05,1.42479e-05
9,20.2064,0.94582,0.73304,1.00727,0.76244,0.71025,0.75636,0.59887,0.86375,0.62273,0.94585,1.08909e-05,1.08909e-05,1.08909e-05
10,22.0018,0.91709,0.7057,1.00994,0.76258,0.70939,0.75722,0.59933,0.86322,0.62001,0.9446,6.35579e-06,6.35579e-06,6.35579e-06
