model,epochs,tag,batch,avg_mem,avg_power,avg_step_time,energy_per_img,gpu_util_early_late,gpu_util_max,gpu_util_mean,gpu_util_p95,gpu_util_slope,gpu_util_std,is65W,map50,mem_clock_early_late,mem_clock_max,mem_clock_mean,mem_clock_p95,mem_clock_slope,mem_clock_std,mem_util_early_late,mem_util_max,mem_util_mean,mem_util_p95,mem_util_slope,mem_util_std,power_early_late,power_limit_w,power_peak_to_mean,power_range,power_slope,pwr_max,pwr_mean,pwr_min,pwr_p95,pwr_std,sm_clock_early_late,sm_clock_max,sm_clock_mean,sm_clock_p95,sm_clock_slope,sm_clock_std,step_time_cv,step_time_mean,step_time_p95,step_time_slope,step_time_std,temp_early_late,temp_max,temp_mean,temp_p95,temp_slope,temp_std,thr_mean,thr_p95,thr_std,throughput,throughput_var_ratio,vram_total_mb,n_logs,delta_map,true_score,rel,pred_score,rank_pred
yolo11m.pt,5,65W,13,4760.54859375,25.593834532374075,0.2153378719998727,0.4239478357321762,46.66346153846154,89.0,27.6726618705036,87.0,0.0815038702337438,35.73778130800123,1.0,0.7918,533.6538461538457,8000.0,7456.8345323741,8000.0,0.9767160213501704,498.1332576777397,27.6875,54.0,17.047961630695443,53.0,0.0474603040716566,21.74128678346629,17.879697115384616,48.396,3.1517746939390467,67.42,0.0321892359545808,80.666,25.593834532374103,13.246,49.622,13.875493271728091,83.14903846153857,2505.0,2045.2517985611512,2490.0,0.1821820357833398,293.5253495732335,0.2391663987054031,0.2153378719998727,0.2699490799999693,-0.0017433689123632,0.0515015833510946,4.961538461538467,78.0,70.61270983213429,75.34999999999991,0.0083074387726916,2.809265518375411,62.63238947173432,77.83975827259707,10.399798496349929,60.370244580143726,0.0275709599810094,8188.0,1,0.014130000000000087,-227.5959196731691,15,-0.20897874236106873,13
yolo11m.pt,5,65W,17,5182.08359375,25.35603698979593,0.2680657300000121,0.3998285038574679,39.9234693877551,91.0,26.346938775510203,90.0,0.0781190593229751,35.03204860416266,1.0,0.79882,576.5306122448974,8000.0,7437.5,8000.0,1.1267769425655938,496.0783708246107,24.301020408163264,63.0,17.306122448979593,57.84999999999991,0.0483721829020062,23.09674999810151,15.280693877551023,51.623,3.102969128482615,65.232,0.0317970328178126,78.679,25.35603698979592,13.447,47.489,13.475542653395395,81.12244897959181,2505.0,2008.0676020408164,2505.0,0.1538193028144703,304.72490399315507,0.2281705660275821,0.2680657300000121,0.3188508300000194,-0.0015506294371451,0.0611647093466997,4.219387755102048,77.0,70.23724489795919,75.0,0.0081084809646825,2.6558254340116854,67.41747388555501,122.09864250027964,19.83729409522556,63.41728202258168,0.0865804647506695,8188.0,1,0.007110000000000061,-247.68651717766426,14,-0.4109019935131073,14
yolo11m.pt,5,65W,32,7820.77109375,26.4007272605627,0.4881635875000938,0.4025956585952127,50.02694610778444,100.0,31.270878633793863,96.5,0.1045599699009355,39.70018786611448,1.0,0.77828,619.0412471147097,8000.0,7498.502994011977,8000.0,1.3722315004549586,499.9955179059653,35.41857625531061,78.5,22.0929774529154,71.0,0.0735941707055598,29.143359150590328,16.65903367008999,52.846,2.3061723987612863,46.7775,0.0371802331714549,60.9115,26.40072726056267,14.134,50.718875,14.227993247196109,43.27158532097826,2490.0,1987.2723756397816,2490.0,0.0292641395062644,290.78516800886644,0.0677708271744575,0.4881635875000938,0.5238781450001171,-0.0021361123684435,0.0333065514444889,3.706804268557853,78.0,73.02687502090791,77.0,0.0083682987155193,2.5875229564443445,65.85179842301606,69.28890151870706,3.618108477169152,65.56456115035454,0.0034807766581779,8188.0,2,0.027650000000000063,-379.2921695205624,1,-1.2463568449020386,15
yolo11m.pt,5,65W,19,5572.828794642857,25.237060869565287,0.30529084571434,0.4055075608533613,43.4726368159204,89.0,26.03105590062112,86.0,0.0820241302312015,34.92868019446641,1.0,0.78833,696.5174129353227,8000.0,7443.478260869565,8000.0,1.291187512953858,496.7950211160244,26.855721393034823,65.0,17.13416149068323,60.0,0.0516396103111893,23.335402437189675,18.886462686567164,47.802,2.747388071786765,55.89,0.0348805664662523,69.336,25.237060869565216,13.446,48.61719999999999,13.808532276452675,132.46268656716438,2505.0,2056.6211180124224,2505.0,0.2681888248445366,276.18566408253844,0.1939124729498938,0.30529084571434,0.3473752599999897,-0.0027715508403416,0.0591997028614321,4.393034825870643,76.0,70.01739130434783,74.0,0.008258539308758,2.686926370210132,64.01558171940455,79.48262316233861,10.068071337314072,62.2357344372463,0.0247355274476407,8188.0,1,0.01760000000000006,-267.5435976618386,12,-1.2564133405685425,16
yolo11m.pt,5,65W,18,5344.33359375,24.913104294478515,0.2710958499999378,0.3752132880471531,43.82266009852216,92.0,26.058895705521472,90.0,0.0842711276940797,36.25535159153656,1.0,0.79051,650.2463054187192,8000.0,7483.435582822086,8000.0,1.193388526481267,499.725544757876,26.87192118226601,60.0,16.58282208588957,56.0,0.0511992849777043,22.62270317146688,18.978660098522163,51.702,3.03414617088698,62.148,0.0340791094496615,75.59,24.91310429447853,13.442,48.46089999999998,13.687960620599618,46.25615763546784,2505.0,1994.8343558282209,2505.0,0.0896664027302786,295.9777446409519,0.2534092044403697,0.2710958499999378,0.3241089899997859,-0.0025909870544045,0.06869818367557,3.93596059113301,75.0,69.86380368098159,74.0,0.0071151767561005,2.5297935628547434,72.80253222895963,156.1547000780966,28.61583956756958,66.39718018554738,0.1544969869430137,8188.0,1,0.01541999999999999,-254.77299892017933,13,-1.2959312200546265,17
yolo11m.pt,5,65W,21,5991.4193080357145,25.50218304668304,0.308406385714261,0.3745255286310008,48.8128078817734,95.0,29.345208845208845,88.0,0.0899525436369209,37.36742324266792,1.0,0.78517,600.9852216748768,8000.0,7443.488943488944,8000.0,1.0508492658222144,496.7962363907401,32.1576354679803,71.0,20.19041769041769,63.0,0.0593408282856588,26.334119581358497,18.74789655172414,49.082,2.818895930140779,58.641000000000005,0.0333367598838406,71.888,25.502183046683044,13.247,50.322,14.249255631997151,-4.729064039408968,2490.0,1993.9864864864865,2490.0,0.0140540229055853,281.7995411455926,0.2772164516703256,0.308406385714261,0.3642256800003451,-0.0029531795518251,0.0854953239201772,4.192118226600982,75.0,69.31941031941032,73.0,0.0077834242414416,2.6510749099328232,79.65130306830851,184.4658286465576,47.16311475124499,68.09197530513046,0.3506058740358959,8188.0,1,0.02076,-286.79610372425145,11,-1.3123294115066528,18
yolo11m.pt,5,65W,28,7461.13359375,25.33746143958866,0.4028603279998788,0.3645520723656061,51.41237113402062,100.0,29.59511568123393,96.59999999999992,0.0959386152485208,39.68211510138767,1.0,0.78668,680.4123711340208,8000.0,7440.874035989717,8000.0,1.2910105441892603,496.4918130038549,36.47938144329897,79.0,21.4280205655527,73.0,0.0675575592894283,29.516246869203965,18.283474226804124,51.608,2.8424315581778,58.78999999999999,0.035088237312112,72.02,25.337461439588687,13.23,50.085,14.683949740312364,94.17525773195894,2505.0,2020.95115681234,2505.0,0.1446807135664049,261.5081239649928,0.2077624808751574,0.4028603279998788,0.4512602400000105,-0.0038703704615482,0.0836992611914344,4.298969072164951,75.0,68.56041131105398,73.0,0.0082401957193644,2.5961363096490584,72.96130154741363,109.75427572586304,17.57367441879861,69.50299658200254,0.0580149612917642,8188.0,1,0.01924999999999999,-359.8089441447759,4,-1.329235553741455,19
yolo11m.pt,5,65W,22,6255.200260416666,25.58726424870468,0.3385394566666037,0.393740842560968,51.46632124352332,92.0,28.458549222797927,87.0,0.0970782028165615,37.18821463501314,1.0,0.78163,637.3056994818653,8000.0,7435.233160621761,8000.0,1.257251495654591,495.7875114572305,33.64248704663212,71.0,19.53497409326425,63.0,0.0634835847762427,26.09890652672101,18.915974093264253,51.177,2.9422449882976927,61.982000000000006,0.036695935949211,75.284,25.58726424870466,13.302,49.55484999999999,14.384408978589745,38.78238341968927,2505.0,2029.2940414507773,2490.0,0.0926129843446945,268.67753331363764,0.1588728203710984,0.3385394566666037,0.3671874749996277,-0.0026285088542843,0.0537847182875225,4.336787564766837,76.0,68.96373056994818,74.0,0.008392483010543,2.7931690490791765,66.2413895775856,79.33973248985342,8.430035871577102,64.98503960696603,0.0161957094418266,8188.0,1,0.02429999999999999,-300.94311041335493,10,-1.3317570686340332,20
yolo11m.pt,5,65W,27,7246.33359375,24.62378144853876,0.4031150120000166,0.3676376279301292,48.13775510204081,98.0,27.46886912325286,92.0,0.0901943706949086,36.8320130922662,1.0,0.78472,571.4285714285706,8000.0,7452.350698856417,8000.0,1.1841147676755517,497.7243655885536,33.66326530612245,73.0,19.51715374841169,69.0,0.0623458495471393,26.63491509160432,16.32487755102041,49.781,2.749334018476575,54.486,0.0322501113854189,67.699,24.62378144853876,13.213,49.61619999999997,13.954397706911417,137.21938775510216,2505.0,2058.4498094027954,2505.0,0.2422660557853249,271.72225609390495,0.1523805991570417,0.4031150120000166,0.4472996599999532,-0.0026296062307728,0.0614269070577606,4.489795918367349,75.0,68.74968233799238,74.0,0.0084551491082594,2.8121372945476257,68.35805600214172,86.70959624550879,9.472521552046148,66.97840367204903,0.0192022357364274,8188.0,1,0.021210000000000062,-349.6124140204469,5,-1.3533364534378052,21
yolo11m.pt,5,65W,23,6530.666927083334,24.84582330345713,0.3463981199999883,0.3741976731378023,46.35897435897436,93.0,27.34443021766965,91.0,0.0912641697123524,36.951647616190925,1.0,0.79751,507.6923076923085,8000.0,7448.143405889885,8000.0,1.1252390849667495,497.3036231994482,29.666666666666664,68.0,18.52496798975672,65.0,0.0582742857804995,25.6776222748602,18.45649743589744,47.186,2.511971498699173,49.218,0.0352634868607492,62.412,24.845823303457102,13.194,48.652,13.870092654072025,20.461538461538566,2505.0,2005.50576184379,2505.0,0.0524014546744238,279.7523260372775,0.227874969053504,0.3463981199999883,0.3892655749997629,-0.0032550264293679,0.0789354608751893,4.410256410256409,74.0,69.1101152368758,74.0,0.0083120330553779,2.7355791343971183,70.09604977738064,106.63821309529403,18.021206742748216,66.3975889938455,0.0660968327824741,8188.0,1,0.008419999999999983,-314.0686586470502,9,-1.3607672452926636,22
