feature,count,non_na,non_na_ratio,n_unique,mean,std,min,p25,median,p75,max,zero_frac,pos_frac,neg_frac,finite_frac,between_group_var_ratio,within_group_std_mean
avg_power,10,10,1.0,10,15.599462422165189,0.6936670053310027,14.700456211812622,14.935733825754486,15.533482936535716,16.137028161809184,16.594770833333317,0.0,1.0,0.0,1.0,0.8876011818468428,0.22406764528504167
pwr_mean,10,10,1.0,10,15.599462422165194,0.6936670053310009,14.700456211812629,14.935733825754495,15.533482936535712,16.137028161809187,16.59477083333333,0.0,1.0,0.0,1.0,0.887601181846845,0.22406764528503792
power_early_late,10,10,1.0,10,1.6273312252262842,0.6227577087210604,1.002923076923075,1.1807130236305028,1.5790632434243586,1.7169610064153948,3.2952015503875955,0.0,1.0,0.0,1.0,0.09819761017388474,0.5485700922557069
mem_util_early_late,10,10,1.0,10,0.7193422206961191,0.5327880339269417,0.0,0.15484038332417738,0.820344792821857,1.181298381421534,1.5425531914893615,0.1,0.9,0.0,1.0,0.2404817089465716,0.46432466865970545
power_peak_to_mean,10,10,1.0,10,1.83649128211228,0.506647716657806,1.2049137037928088,1.4063263400728259,1.8015559214924217,2.1166413779945494,2.680417657131694,0.0,1.0,0.0,1.0,0.21468983552770332,0.44398266319646396
is65W,10,10,1.0,2,0.5,0.5,0.0,0.0,0.5,1.0,1.0,0.5,0.5,0.0,1.0,0.9999999999960001,0.0
mem_util_mean,10,10,1.0,10,2.0179205104273636,0.36622747582264165,1.58712715855573,1.8475591146420254,1.888331246846914,1.9893421052631581,2.81104033970276,0.0,1.0,0.0,1.0,0.011346919797276046,0.36348978679904287
energy_per_img,10,10,1.0,10,0.42442539954839803,0.2880619402018963,0.1478277973141274,0.20111687642695983,0.30048276554977527,0.5340646362117791,0.9527943797414086,0.0,1.0,0.0,1.0,0.00027792129997259563,0.2879903940109827
temp_std,10,10,1.0,10,1.0365037631145702,0.24581422059669275,0.6353445249905901,0.8707129282701906,1.069245952433687,1.2090789861861913,1.4000361396342802,0.0,1.0,0.0,1.0,0.08313794480274787,0.23102038139885195
sm_clock_slope,10,10,1.0,10,0.14649932368225876,0.1843351403914565,-1.3141450259191202e-15,1.9104314489659496e-15,0.009217518632466816,0.27816856592059347,0.4750888201102993,0.0,0.9,0.1,1.0,0.03838151835164324,0.17608419656016716
step_time_cv,10,10,1.0,10,0.6962552622162883,0.15128641301349033,0.4784078877498834,0.6161845927058104,0.6847482867078586,0.7070945414406121,1.0919795444455251,0.0,1.0,0.0,1.0,0.23544150425632804,0.12496546746341526
step_time_p95,10,10,1.0,10,0.1547097504999851,0.08976595465929073,0.0731615549999901,0.08736563250004105,0.10113834749997744,0.1879057624999376,0.3170388000000456,0.0,1.0,0.0,1.0,0.0005828710317322623,0.08972879551637993
map50,10,10,1.0,5,0.5612299999999999,0.041984026486272134,0.4819,0.55542,0.58282,0.59235,0.59366,0.0,1.0,0.0,1.0,0.0,0.04198402648627213
