model,tag,ref,tgt,hit,rho,top3_overlap,n_common
yolo11m.pt,65W,1,5,1.0,0.9978005865102637,1.0,32
yolo11m.pt,65W,1,10,1.0,0.9956011730205276,1.0,32
yolo11m.pt,65W,1,20,1.0,0.9967008797653957,1.0,32
yolo11n.pt,65W,1,5,1.0,0.9871700879765394,1.0,32
yolo11n.pt,65W,1,10,1.0,0.9923020527859235,1.0,32
yolo11n.pt,65W,1,20,0.0,0.9065249266862169,0.3333333333333333,32
yolo11s.pt,65W,1,5,0.0,0.973240469208211,0.6666666666666666,32
yolo11s.pt,65W,1,10,1.0,0.9816715542521992,0.6666666666666666,32
yolo11s.pt,65W,1,20,0.0,0.9637096774193546,0.6666666666666666,32
yolo11x.pt,65W,1,5,1.0,0.9409824046920819,1.0,32
yolo11x.pt,65W,1,10,1.0,0.9483137829912022,1.0,32
yolo11x.pt,65W,1,20,1.0,0.9343841642228737,1.0,32
