model,epochs,batch,115W,65W
yolo11n.pt,5,2,17.809958382877568,16.006901144641024
yolo11n.pt,5,3,18.96521988795519,16.213455621301776
yolo11n.pt,5,4,20.677363782051277,15.965565562913891
yolo11n.pt,5,6,22.40244288224958,18.218488472622468
yolo11n.pt,5,7,22.64235304659497,18.886704647676197
yolo11n.pt,5,8,22.157002998925755,20.590843051874266
yolo11n.pt,5,9,22.355566003616623,18.409418238993695
yolo11n.pt,5,10,22.744829588014987,18.885581358609794
yolo11n.pt,5,11,22.499924271844662,18.993330065359448
yolo11n.pt,5,12,22.63682974559688,18.97060296540365
yolo11n.pt,5,13,22.523850894632197,18.603837662337646
yolo11n.pt,5,14,22.734265624999992,18.544678217821776
yolo11n.pt,5,15,22.68305599999997,18.68360767946578
yolo11n.pt,5,16,22.640879944709756,20.269110235567346
yolo11n.pt,5,17,23.105560483870985,18.6027103918228
yolo11n.pt,5,18,22.889414000000013,18.364375432525918
yolo11n.pt,5,19,22.824474747474714,18.349830845771155
yolo11n.pt,5,20,22.963371717171718,18.225770547945196
yolo11n.pt,5,21,22.862778884462134,18.307671742808807
yolo11n.pt,5,22,23.15543505154639,18.46136363636364
yolo11n.pt,5,23,23.290231884057977,18.638115318416503
yolo11n.pt,5,24,23.11685288270375,18.256193656093483
yolo11n.pt,5,25,23.429836327345328,18.558050173010397
yolo11n.pt,5,30,23.497281573498967,18.628897923875464
yolo11n.pt,5,32,23.300574474672107,19.926264802534256
yolo11n.pt,10,1,18.1722742023746,19.130783662201956
yolo11n.pt,10,2,19.076307142857146,16.60835692307692
yolo11n.pt,10,3,20.358289263531514,16.857205389657647
yolo11n.pt,10,7,25.2588144690782,20.539055276381895
yolo11n.pt,10,8,25.376574891895345,23.75932495433635
yolo11n.pt,10,9,25.201166246851447,20.836060606060574
yolo11n.pt,10,10,25.62355266579977,20.971361050328213
yolo11n.pt,10,12,25.693637720488436,20.82710972850679
yolo11n.pt,10,13,25.615720108695626,20.714906141367337
yolo11n.pt,10,16,25.98841812879594,22.71785507282287
yolo11n.pt,10,32,26.813165297238562,22.483046710539476
yolo11n.pt,20,1,18.486841955700463,20.351855553476216
yolo11n.pt,20,2,20.034419493344828,17.62556983441324
yolo11n.pt,20,3,21.91039151712884,18.379263947491822
yolo11n.pt,20,4,23.29991571609627,18.745238069116855
yolo11n.pt,20,6,28.19706325301204,23.54587293233083
yolo11n.pt,20,8,29.350101784511857,27.65452210551946
yolo11n.pt,20,16,31.00266560164269,27.122618029739787
yolo11n.pt,20,27,29.91678793969848,25.231331541218605
yolo11s.pt,1,1,17.29126233783204,17.919932253169062
yolo11s.pt,1,2,18.85876725838266,17.11108528428094
yolo11s.pt,1,3,18.762313765182157,17.056079310344803
yolo11s.pt,1,4,18.716351293103457,17.175503571428596
yolo11s.pt,1,5,18.575359649122824,17.12850637522769
yolo11s.pt,1,6,18.146313465783656,16.663635185185182
yolo11s.pt,1,7,18.249862831858422,16.395009090909106
yolo11s.pt,1,8,18.271033033394033,17.860335527200657
yolo11s.pt,1,9,18.457270693512278,16.735514018691592
yolo11s.pt,1,10,17.763576496674055,16.226613259668525
yolo11s.pt,1,11,18.079473804100225,16.30646792452831
yolo11s.pt,1,12,17.930096330275262,15.930471135940413
yolo11s.pt,1,13,17.97465509259261,16.119129032258073
yolo11s.pt,1,14,18.02906590909092,16.14735807050094
yolo11s.pt,1,15,17.749340909090915,16.194471454880286
yolo11s.pt,1,16,18.37823664599612,17.286863924649328
yolo11s.pt,1,17,17.890542334096097,16.161272900763368
yolo11s.pt,1,18,18.15755429864253,15.743266791044796
yolo11s.pt,1,19,18.01320919540231,15.92002290076336
yolo11s.pt,1,20,17.958620370370355,15.996234285714284
yolo11s.pt,1,21,18.256133333333334,16.04044821092279
yolo11s.pt,1,22,18.08598383371826,16.11988631984585
yolo11s.pt,1,23,18.395590277777792,16.16608771929825
yolo11s.pt,1,24,18.127144469525952,16.053860640301327
yolo11s.pt,1,25,18.424503464203216,15.715447368421067
yolo11s.pt,1,26,17.929422273781903,16.135596558317385
yolo11s.pt,1,27,18.417279176201397,15.987189393939385
yolo11s.pt,1,28,18.755006960556848,15.773826335877871
yolo11s.pt,1,29,18.33145958429561,16.139086042065017
yolo11s.pt,1,30,18.460527906976736,16.00760576923077
yolo11s.pt,1,31,18.465701388888895,16.221914728682172
yolo11s.pt,1,32,18.940149816060558,17.251145522835063
yolo11s.pt,5,1,19.11582622083873,20.29482100260773
yolo11s.pt,5,2,21.948854671280266,19.877485657764595
yolo11s.pt,5,3,25.177680706521745,21.78727334851939
yolo11s.pt,5,4,25.666133333333295,23.096358611825185
yolo11s.pt,5,5,26.12519267515925,22.83449594594594
yolo11s.pt,5,6,26.258629382303848,22.070653685674525
yolo11s.pt,5,7,26.480056506849323,22.02297844827585
yolo11s.pt,5,8,26.65661975900069,23.43288358000452
yolo11s.pt,5,9,26.74500522648082,21.881632200886248
yolo11s.pt,5,16,27.133434505706894,23.112508742750947
yolo11s.pt,10,1,19.80007311360574,21.21253979385037
yolo11s.pt,10,2,22.83907209612818,19.629487761194007
yolo11s.pt,10,4,29.15876407766992,24.347008169934657
yolo11s.pt,10,8,29.874406671367048,25.252642027747143
yolo11s.pt,20,1,20.309855369170464,22.228826601157543
yolo11s.pt,20,2,25.532939870863597,21.01928198713365
yolo11s.pt,20,4,32.892574821852826,28.290934479054805
yolo11x.pt,1,1,28.722635741781147,23.812297894736894
yolo11x.pt,1,19,26.42368053855568,22.002022606382955
yolo11x.pt,1,20,25.68493576017124,23.433121951219515
yolo11x.pt,1,21,26.063295675198567,23.693617241379307
yolo11x.pt,1,22,25.73472595744683,23.484272580645133
yolo11x.pt,1,23,26.159564945226943,24.31615579432078
yolo11x.pt,1,24,25.703204592901887,24.653312456985518
yolo11x.pt,1,25,25.997736147757188,24.717121023081738
yolo11x.pt,1,26,25.499143398610233,24.656684964200497
yolo11x.pt,1,27,25.574558449809402,24.979694607268485
yolo11x.pt,1,28,25.238162445954238,25.217584152689426
yolo11x.pt,1,29,25.149036795252222,24.97004525139665
yolo11x.pt,1,30,25.30467426710097,25.22873897249612
yolo11x.pt,1,31,25.625713806595833,25.345585907859004
yolo11x.pt,1,32,25.717173936750225,25.43766014418123
yolo11x.pt,5,17,34.68176438653636,30.726492486669922
yolo11x.pt,5,18,34.10165494211932,30.354559640872143
yolo11x.pt,5,19,32.15002068965527,30.727766579243184
yolo11x.pt,5,20,30.73245828331331,30.228726542324246
yolo11x.pt,5,21,29.650557479919676,29.354810797897844
yolo11x.pt,5,22,29.223499383172776,28.17978562816486
yolo11x.pt,5,23,28.457338126453834,27.463994573158075
yolo11x.pt,5,24,28.366849030194,26.92668681102368
yolo11x.pt,5,25,27.924567877989098,26.675924631658404
yolo11x.pt,5,26,27.72735115322733,26.361244829325578
