T,P,M,D,features,top1_mean,top1_std,ndcg1_mean,ndcg1_std,best_iter_mean
0.7,0.3,0.2,0.1,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.4,0.48989794855663565,0.8999938961118232,0.20001220777635353,3.0
0.7,0.3,0.2,0.05,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.4,0.48989794855663565,0.8999938961118232,0.20001220777635353,3.0
0.5,0.5,0.05,0.1,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.4,0.48989794855663565,0.8062381737166575,0.387523652566685,4.0
0.3,0.5,0.1,0.1,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.4,0.48989794855663565,0.8003784410669595,0.3992431178660807,1.4
0.7,0.1,0.1,0.1,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.4,0.48989794855663565,0.8999999940395351,0.20000001192092967,9.8
0.7,0.1,0.1,0.05,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.4,0.48989794855663565,0.8999999940395351,0.20000001192092967,9.8
0.7,0.1,0.05,0.2,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.4,0.48989794855663565,0.8499908441677348,0.3000183116645303,2.4
0.7,0.1,0.05,0.1,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.4,0.48989794855663565,0.8499908441677348,0.3000183116645303,2.4
0.5,0.5,0.05,0.05,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.4,0.48989794855663565,0.8062381737166575,0.387523652566685,4.0
0.5,0.5,0.05,0.2,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.4,0.48989794855663565,0.8062381737166575,0.387523652566685,4.0
0.3,0.5,0.05,0.1,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.4,0.48989794855663565,1.0,0.0,5.2
0.3,0.5,0.1,0.05,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.4,0.48989794855663565,0.8003784410669595,0.3992431178660807,1.4
0.3,0.1,0.1,0.2,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.2,0.4,0.7999938901513584,0.24495645747385827,2.4
0.3,0.1,0.05,0.05,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.2,0.4,0.6999999909894535,0.36742347245309753,6.4
0.3,0.1,0.1,0.1,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.2,0.4,0.7999938901513584,0.24495645747385827,2.4
0.3,0.1,0.1,0.05,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.2,0.4,0.7999938901513584,0.24495645747385827,2.4
0.3,0.1,0.05,0.2,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.2,0.4,0.6562499883817502,0.42665122113062537,2.8
0.3,0.1,0.05,0.1,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.2,0.4,0.6999999909894535,0.36742347245309753,6.2
0.5,0.3,0.1,0.2,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.2,0.4,0.7031129770096871,0.3945637957478775,1.4
0.5,0.3,0.2,0.05,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.2,0.4,0.7999938901513584,0.24495645747385827,0.4
0.5,0.3,0.2,0.1,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.2,0.4,0.7999938901513584,0.24495645747385827,0.4
0.5,0.3,0.2,0.2,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.2,0.4,0.7999938901513584,0.24495645747385827,0.4
0.5,0.1,0.2,0.05,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.2,0.4,0.7999938901513584,0.24495645747385827,5.4
0.5,0.1,0.2,0.2,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.2,0.4,0.7999938901513584,0.24495645747385827,5.4
0.5,0.1,0.1,0.1,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.2,0.4,0.7031129770096871,0.3945637957478775,1.8
0.5,0.1,0.1,0.05,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.2,0.4,0.7031129770096871,0.3945637957478775,1.8
0.5,0.1,0.1,0.2,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.2,0.4,0.7031129770096871,0.3945637957478775,1.8
0.5,0.1,0.2,0.1,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.2,0.4,0.7999938901513584,0.24495645747385827,5.4
0.5,0.3,0.1,0.05,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.2,0.4,0.7031129770096871,0.3945637957478775,1.4
0.5,0.3,0.1,0.1,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.2,0.4,0.7031129770096871,0.3945637957478775,1.4
0.7,0.1,0.2,0.1,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.2,0.4,0.8999938961118232,0.20001220777635353,4.2
0.7,0.1,0.2,0.2,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.2,0.4,0.8999938961118232,0.20001220777635353,4.2
0.7,0.5,0.2,0.1,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.2,0.4,0.7999938901513584,0.24495645747385827,5.6
0.5,0.5,0.1,0.05,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.2,0.4,0.7031129770096871,0.3945637957478775,6.6
0.5,0.5,0.1,0.1,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.2,0.4,0.7031129770096871,0.3945637957478775,6.6
0.5,0.5,0.1,0.2,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.2,0.4,0.7031129770096871,0.3945637957478775,6.6
0.7,0.1,0.1,0.2,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.2,0.4,0.6187499887339065,0.4670385557308608,6.4
0.7,0.1,0.2,0.05,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.2,0.4,0.8999938961118232,0.20001220777635353,4.2
0.7,0.5,0.2,0.2,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.2,0.4,0.7999938901513584,0.24495645747385827,5.6
0.7,0.5,0.2,0.05,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.2,0.4,0.7999938901513584,0.24495645747385827,5.6
0.5,0.1,0.05,0.2,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.0,0.0,0.8062381737166575,0.387523652566685,3.2
0.5,0.1,0.05,0.05,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.0,0.0,0.8062381737166575,0.387523652566685,3.2
0.5,0.1,0.05,0.1,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.0,0.0,0.8062381737166575,0.387523652566685,3.2
0.7,0.3,0.1,0.1,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.0,0.0,0.4140991114139517,0.4788688645840782,2.8
0.7,0.3,0.1,0.2,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.0,0.0,0.4140991114139517,0.4788688645840782,2.8
0.7,0.3,0.1,0.05,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.0,0.0,0.4140991114139517,0.4788688645840782,2.8
