model,epochs,tag,batch,avg_mem,avg_power,avg_step_time,energy_per_img,gpu_util_early_late,gpu_util_max,gpu_util_mean,gpu_util_p95,gpu_util_slope,gpu_util_std,is65W,map50,mem_clock_early_late,mem_clock_max,mem_clock_mean,mem_clock_p95,mem_clock_slope,mem_clock_std,mem_util_early_late,mem_util_max,mem_util_mean,mem_util_p95,mem_util_slope,mem_util_std,power_early_late,power_limit_w,power_peak_to_mean,power_range,power_slope,pwr_max,pwr_mean,pwr_min,pwr_p95,pwr_std,sm_clock_early_late,sm_clock_max,sm_clock_mean,sm_clock_p95,sm_clock_slope,sm_clock_std,step_time_cv,step_time_mean,step_time_p95,step_time_slope,step_time_std,temp_early_late,temp_max,temp_mean,temp_p95,temp_slope,temp_std,thr_mean,thr_p95,thr_std,throughput,throughput_var_ratio,vram_total_mb,n_logs,delta_map,true_score,rel,pred_score,rank_pred
yolo11m.pt,1,115W,1,1833.12109375,21.763111070919592,0.0750145791016016,1.627785029173804,15.5710742710186,43.0,15.156448478434266,41.25,0.0447397378892077,17.309682206247018,0.0,0.70007,0.0,8200.0,8190.243902439024,8200.0,0.0103693875045208,53.2132298274913,3.075628367834334,14.25,3.9272832649848137,12.25,0.0102930886873854,4.611353229625604,7.264701335524089,115.042,1.7576237437170146,23.10725,0.0219651317501022,38.214,21.76311107091961,15.10675,34.1238,7.443598935645886,194.3012222306113,2651.25,2167.7811682817933,2575.124999999998,0.6229979907484056,225.9040803987222,0.2813867679798616,0.0750145791016016,0.1030319674997599,-0.0001660389690111,0.0214786643612743,1.092654918549684,72.75,68.24589922558721,71.25,0.0041121182616806,1.6810220583726694,13.89818578547188,16.170835989815437,2.127907171167358,13.379512641985968,0.0238053895794304,8188.0,4,0.07329000000000008,-179.64435300399234,30,2.706993579864502,1
yolo11m.pt,1,115W,3,2023.1295421511627,21.343076767676763,0.084387002325499,0.6003594229424143,15.739837398373982,59.0,12.094949494949494,56.0,0.0659836908988012,21.21751408118604,0.0,0.75152,0.0,8200.0,8151.515151515152,8200.0,-0.1270376482600524,236.28592351052032,5.349593495934959,25.0,5.323232323232324,24.0,0.0244959059050739,8.668098113520744,9.583577235772353,119.295,2.293858590910609,34.945,0.0393964304795374,48.958,21.34307676767677,14.013,47.92979999999999,11.238919309552497,368.1707317073169,2655.0,2194.0,2655.0,1.2241027224049343,290.9504800102276,0.5703366750287866,0.084387002325499,0.1287821400001121,-0.0011380247659232,0.0481290023219715,4.284552845528459,64.0,57.561616161616165,64.0,0.0137322355064291,2.943875926194872,39.86515552368421,48.87733643421899,9.172687176934472,35.5504985048331,0.052942718776063,8188.0,1,0.02184000000000008,-185.2534544657518,29,2.277104616165161,2
yolo11m.pt,1,115W,2,1837.6484375,21.240953237410057,0.0797756156249818,0.8472550604879189,14.158273381294965,53.0,10.606115107913668,52.0,0.0541726374347171,19.127964537651582,0.0,0.74529,0.0,8200.0,8178.417266187051,8200.0,-0.0410521211833439,159.47873267836977,4.122302158273381,19.0,4.388489208633094,18.0,0.0170866887449815,6.332241117773751,11.349525179856116,119.354,2.5408934993060948,41.577,0.037279680351987,53.971,21.24095323741007,12.394,42.266,10.723484149788394,429.388489208633,2670.0,2206.5107913669067,2655.0,1.1972976812882277,294.8833171728366,0.9921367885270604,0.0797756156249818,0.1023700600012489,-0.0012383025412078,0.0791483230889386,4.776978417266186,62.0,55.34532374100719,62.0,0.0136029135835395,3.023201005499335,29.233758555307503,34.014673997623845,5.854723668823523,25.070317343608163,0.0401091531568282,8188.0,1,0.02807000000000004,-172.9736509913171,31,2.1523525714874268,3
yolo11m.pt,1,115W,4,2233.1484375,21.063471698113226,0.0919385750001424,0.4841363931200902,15.504201680672267,64.0,11.530398322851154,62.0,0.0672354044641461,21.99069792024655,0.0,0.76302,0.0,8200.0,8174.842767295598,8200.0,-0.0776184793014076,171.91798302661522,6.848739495798319,35.0,5.584905660377358,32.0,0.0329516980866713,11.261314954698664,10.058815126050424,117.695,2.6329467807990943,41.44500000000001,0.0423508374060921,55.459,21.063471698113208,14.014,52.4474,11.858665618584237,392.7731092436975,2655.0,2183.710691823899,2655.0,1.2647964372454596,285.4491186177445,0.60291562998808,0.0919385750001424,0.13216810000049,-0.0026972326612928,0.0554312038664172,2.268907563025209,67.0,57.89937106918239,64.0,0.0097411191523265,2.8976856996006912,49.32216803352379,59.45626009444631,11.605132147423635,43.50730909189969,0.0553625216802535,8188.0,1,0.010340000000000016,-201.42418663448285,28,1.8683667182922363,4
yolo11m.pt,1,115W,5,2394.787860576923,21.75661538461536,0.1102693115383142,0.4798173999730864,12.916666666666666,71.0,12.442827442827443,71.0,0.0675750079795722,24.045032152516377,0.0,0.76823,0.0,8200.0,8152.598752598753,8200.0,-0.1450556844747813,233.7404941945289,5.841666666666667,41.0,6.245322245322245,40.0,0.0344578419785888,12.743352755424004,9.9809,116.756,3.9140738802698376,71.047,0.0441000854029899,85.157,21.756615384615387,14.11,54.592,13.261238509675142,458.0,2655.0,2206.060291060291,2655.0,1.4410994340973569,293.7330850672375,0.5250209264161635,0.1102693115383142,0.1767887500000142,-0.0027243643418789,0.0578936960991183,2.866666666666667,67.0,57.83160083160083,65.0,0.011288938156158,3.05437883663288,51.40126559557106,68.15983737425722,13.555351681025352,45.34353148892832,0.0695462879409549,8188.0,1,0.005130000000000079,-216.6245032412584,27,1.6957963705062866,5
yolo11m.pt,1,115W,6,2554.165482954545,20.843135699373697,0.1189636545457026,0.4132625991649158,7.453781512605042,77.0,9.45929018789144,61.0,0.049208820677667,19.65097096936852,0.0,0.76883,0.0,8200.0,8174.947807933194,8200.0,-0.0832015793013899,171.56636661308323,3.184873949579832,46.0,5.068893528183716,39.0,0.0265667446999938,11.808026578459208,10.2232268907563,121.217,2.9479729387285203,47.381,0.0423416601881534,61.445,20.843135699373693,14.064,52.690999999999946,12.24416792330073,462.4789915966385,2655.0,2194.9164926931107,2655.0,1.417555096478888,289.6434229220103,0.544436607548546,0.1189636545457026,0.1835062850000212,-0.0041436566911188,0.0647681685024395,3.773109243697476,67.0,58.19832985386221,67.0,0.0138283863697905,3.106380619129625,57.844721737666376,76.05438418412567,15.941446066316637,50.43557230073964,0.0759500310745582,8188.0,1,0.004530000000000034,-229.32428505488545,26,1.5584754943847656,6
yolo11m.pt,1,115W,7,2771.7635690789475,21.146302771855,0.1300511947367914,0.3928717056779526,13.948717948717947,76.0,11.460554371002132,64.0,0.0630261132960402,21.257409106242385,0.0,0.76959,0.0,8200.0,8174.413646055437,8200.0,-0.0928255612282384,173.34636778801865,6.153846153846153,49.0,6.341151385927505,39.0,0.0331586165501694,13.06808607744896,9.349393162393165,121.612,2.9631184550803336,48.829,0.0422051556572991,62.659,21.14630277185501,13.83,54.927399999999984,12.755500438939071,433.9743589743589,2655.0,2181.5245202558635,2655.0,1.3515558750553975,282.0084264646206,0.4845323481999302,0.1300511947367914,0.2078070999992629,-0.0045766738596699,0.0630140107720239,2.46153846153846,68.0,58.55863539445629,66.0,0.0102361700964431,2.890185409038545,60.42151185978519,79.6152337319265,15.550354923191652,53.82495727292,0.0662365091524074,8188.0,1,0.003770000000000051,-249.11102009851376,25,1.4062676429748535,7
yolo11m.pt,1,115W,8,3124.9393310546875,22.139377099047053,0.1375220765622486,0.3801454649778579,10.70415200931499,77.5,10.235537148087513,64.75,0.0586066857104121,21.8835725155549,0.0,0.76219,0.0,8200.0,8200.0,8200.0,-5.202432013678228e-15,0.0,5.829365837229982,53.0,6.097728776835937,42.25,0.0357667295294892,14.162908731767333,9.785118942740324,115.5435,2.984905078856466,51.104,0.04528743156939,66.05025,22.13937709904705,14.94625,57.75832499999997,13.278119777619796,419.6014406816208,2655.0,2185.8331383722966,2655.0,1.3567207732310904,281.5476741952089,0.299696569959975,0.1375220765622486,0.1891353249999383,-0.0054187365073402,0.0427148339117841,2.102740077665999,77.25,67.11018134968597,74.25,0.0095535692386712,2.852433694174258,62.11981288395378,81.38063609625759,12.374910576886569,58.46273807227011,0.0418037799608643,8188.0,4,0.011170000000000013,-281.84528268191616,24,1.2740318775177002,8
yolo11m.pt,1,115W,9,3166.444270833333,21.03214224137931,0.1584372733332808,0.3702528076757618,10.93103448275862,82.0,9.866379310344827,67.0,0.0599252349022311,22.65272475034172,0.0,0.76862,0.0,8200.0,8200.0,8200.0,-4.109204025199097e-15,0.0,6.025862068965517,59.0,6.262931034482759,45.0,0.0378628041236122,15.453065928205012,10.162715517241375,120.955,3.094263972405126,50.953,0.043973907052953,65.079,21.03214224137931,14.126,53.677,12.702110852325584,400.73275862068976,2655.0,2169.956896551724,2655.0,1.242379341577032,275.3436298907296,0.4421532779050239,0.1584372733332808,0.2528480400002079,-0.0080296221429047,0.0700535597466443,3.0172413793103416,67.0,58.553879310344826,65.0,0.0112338042989931,2.6727605100447542,62.63550224315089,82.05539850512336,14.45297911436966,56.80481499494152,0.0532443613104926,8188.0,1,0.0047400000000000775,-286.76844053464424,23,0.9849920272827148,9
yolo11m.pt,1,115W,10,3334.557091346154,21.209449781659387,0.1709547769233513,0.3625856756090602,8.491228070175438,79.0,10.028384279475985,70.0,0.0559003301854888,22.180808761226697,0.0,0.77336,0.0,8200.0,8200.0,8200.0,-1.2666242921113716e-14,0.0,4.675438596491228,55.0,5.943231441048035,41.0,0.0340038155350495,14.150510662276597,10.526280701754388,118.551,3.0800421827297875,51.188,0.0458962264899207,65.326,21.209449781659387,14.138,56.475,13.12283239571039,456.97368421052624,2655.0,2192.7510917030568,2655.0,1.467812488816913,290.2932323566695,0.3938230938130193,0.1709547769233513,0.2657008799997126,-0.0090776307691627,0.0673259391500687,2.5350877192982466,68.0,58.414847161572055,65.0,0.0101329579127634,2.5564282531144182,63.09647691196709,72.59120932612613,12.062252364164625,58.49500189446924,0.0365465680336168,8188.0,1,0.0,-302.60059795426577,22,0.9353123903274536,10
