T,P,M,D,features,top1_mean,top1_std,ndcg1_mean,ndcg1_std,best_iter_mean
0.3,0.1,0.1,0.2,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.6,0.22607766610417562,0.94998778998779,0.10002442002442001,1.0
0.3,0.1,0.2,0.05,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.6,0.22607766610417562,0.94998778998779,0.10002442002442001,1.0
0.3,0.1,0.2,0.1,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.6,0.22607766610417562,0.94998778998779,0.10002442002442001,1.0
0.3,0.1,0.2,0.2,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.6,0.22607766610417562,0.94998778998779,0.10002442002442001,1.0
0.3,0.3,0.1,0.05,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.6,0.22607766610417562,0.94998778998779,0.10002442002442001,1.0
0.3,0.3,0.1,0.1,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.6,0.22607766610417562,0.94998778998779,0.10002442002442001,1.0
0.3,0.3,0.1,0.2,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.6,0.22607766610417562,0.94998778998779,0.10002442002442001,1.0
0.3,0.3,0.2,0.05,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.6,0.22607766610417562,0.94998778998779,0.10002442002442001,1.0
0.3,0.3,0.2,0.1,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.6,0.22607766610417562,0.94998778998779,0.10002442002442001,1.0
0.3,0.3,0.2,0.2,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.6,0.22607766610417562,0.94998778998779,0.10002442002442001,1.0
0.3,0.5,0.1,0.05,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.6,0.22607766610417562,0.94998778998779,0.10002442002442001,1.0
0.3,0.5,0.1,0.1,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.6,0.22607766610417562,0.94998778998779,0.10002442002442001,1.0
0.3,0.5,0.1,0.2,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img|is65W,0.6,0.22607766610417562,0.94998778998779,0.10002442002442001,1.0
