model,epochs,tag,recommended_batch,save_dir,eta
yolo11n.pt,1,65W,8,runs\detect\train1404,0.5
yolo11s.pt,1,65W,8,runs\detect\train1405,0.5
yolo11m.pt,1,65W,8,runs\detect\train1406,0.5
yolo11x.pt,1,65W,8,runs\detect\train1407,0.5
