model,tag,batch_probe,batch_oracle,hit
yolo11m.pt,115W,6,2,0.0
yolo11n.pt,115W,1,3,0.0
yolo11s.pt,115W,1,2,0.0
yolo11x.pt,115W,29,3,0.0
