file,timestamp,country,energy_kwh,co2_g,model,batch,epochs,tag
yolo11m_b14_e1_run1_20250727-205104.json,2025-07-27T20:51:04+08:00,CN,1.3873561650987103e-05,0.0068257923322856545,yolo11m.pt,14,1,115W
yolo11m_b14_e1_run1_20250730-011004.json,2025-07-30T01:10:04+08:00,CN,1.3352973954016546e-05,0.0065696631853761405,yolo11m.pt,14,1,65W
yolo11m_b14_e20_run1_20250727-220937.json,2025-07-27T22:09:37+08:00,CN,0.00043334283267636235,0.21320467367677026,yolo11m.pt,14,20,115W
yolo11m_b14_e20_run1_20250730-024447.json,2025-07-30T02:44:47+08:00,CN,0.0003760405798510143,0.18501196528669903,yolo11m.pt,14,20,65W
yolo11m_b14_e5_run1_20250727-210731.json,2025-07-27T21:07:31+08:00,CN,8.861225676188969e-05,0.04359723032684973,yolo11m.pt,14,5,115W
yolo11m_b14_e5_run1_20250730-013036.json,2025-07-30T01:30:36+08:00,CN,7.80216589200972e-05,0.03838665618868782,yolo11m.pt,14,5,65W
yolo11m_b15_e10_run1_20250727-213248.json,2025-07-27T21:32:48+08:00,CN,0.00018470808005788974,0.09087637538848176,yolo11m.pt,15,10,115W
yolo11m_b15_e10_run1_20250730-020032.json,2025-07-30T02:00:32+08:00,CN,0.0001614160085549659,0.07941667620904322,yolo11m.pt,15,10,65W
yolo11m_b15_e1_run1_20250727-205134.json,2025-07-27T20:51:34+08:00,CN,1.32530977426426e-05,0.006520524089380159,yolo11m.pt,15,1,115W
yolo11m_b15_e1_run1_20250730-011041.json,2025-07-30T01:10:41+08:00,CN,1.2654776541724244e-05,0.006226150058528328,yolo11m.pt,15,1,65W
yolo11m_b15_e20_run1_20250727-221111.json,2025-07-27T22:11:11+08:00,CN,0.00041614525411935586,0.20474346502672308,yolo11m.pt,15,20,115W
yolo11m_b15_e20_run1_20250730-024640.json,2025-07-30T02:46:40+08:00,CN,0.00036976810934818505,0.18192590979930703,yolo11m.pt,15,20,65W
yolo11m_b15_e5_run1_20250727-210812.json,2025-07-27T21:08:12+08:00,CN,8.368298095449191e-05,0.041172026629610024,yolo11m.pt,15,5,115W
yolo11m_b15_e5_run1_20250730-013127.json,2025-07-30T01:31:27+08:00,CN,7.686325529911045e-05,0.03781672160716234,yolo11m.pt,15,5,65W
yolo11m_b16_e10_run1_20250726-153729.json,2025-07-26T15:37:29+08:00,CN,0.00016839465207104393,0.08285016881895362,yolo11m.pt,16,10,115W
yolo11m_b16_e10_run1_20250726-165532.json,2025-07-26T16:55:32+08:00,CN,0.00016221837158519948,0.07981143881991815,yolo11m.pt,16,10,65W
yolo11m_b16_e10_run1_20250727-123220.json,2025-07-27T12:32:20+08:00,CN,0.00018036225108121443,0.0887382275319575,yolo11m.pt,16,10,115W
yolo11m_b16_e10_run1_20250727-142523.json,2025-07-27T14:25:23+08:00,CN,0.00016361737486466588,0.08049974843341562,yolo11m.pt,16,10,65W
yolo11m_b16_e10_run2_20250726-153825.json,2025-07-26T15:38:25+08:00,CN,0.00017329145792939057,0.08525939730126016,yolo11m.pt,16,10,115W
yolo11m_b16_e10_run2_20250726-165633.json,2025-07-26T16:56:33+08:00,CN,0.00016120855133240132,0.07931460725554144,yolo11m.pt,16,10,65W
yolo11m_b16_e10_run2_20250727-123315.json,2025-07-27T12:33:15+08:00,CN,0.00017895381439397883,0.08804527668183758,yolo11m.pt,16,10,115W
yolo11m_b16_e10_run2_20250727-142625.json,2025-07-27T14:26:25+08:00,CN,0.00016678938787042486,0.08206037883224902,yolo11m.pt,16,10,65W
yolo11m_b16_e1_run1_20250726-153000.json,2025-07-26T15:30:00+08:00,CN,1.2478976410615826e-05,0.006139656394022986,yolo11m.pt,16,1,115W
yolo11m_b16_e1_run1_20250726-164531.json,2025-07-26T16:45:31+08:00,CN,1.259066508126883e-05,0.006194607219984265,yolo11m.pt,16,1,65W
yolo11m_b16_e1_run1_20250727-121628.json,2025-07-27T12:16:28+08:00,CN,1.2589819383420475e-05,0.006194191136642873,yolo11m.pt,16,1,115W
yolo11m_b16_e1_run1_20250727-140821.json,2025-07-27T14:08:21+08:00,CN,1.24602496137665e-05,0.006130442809973118,yolo11m.pt,16,1,65W
yolo11m_b16_e1_run2_20250726-153023.json,2025-07-26T15:30:23+08:00,CN,1.1338833679509364e-05,0.0055787061703186066,yolo11m.pt,16,1,115W
yolo11m_b16_e1_run2_20250726-164558.json,2025-07-26T16:45:58+08:00,CN,1.1263139656477703e-05,0.00554146471098703,yolo11m.pt,16,1,65W
yolo11m_b16_e1_run2_20250727-121651.json,2025-07-27T12:16:51+08:00,CN,1.1361731237584776e-05,0.00558997176889171,yolo11m.pt,16,1,115W
yolo11m_b16_e1_run2_20250727-140846.json,2025-07-27T14:08:46+08:00,CN,1.1742433433620775e-05,0.005777277249341422,yolo11m.pt,16,1,65W
yolo11m_b16_e20_run1_20250727-124903.json,2025-07-27T12:49:03+08:00,CN,0.00042286607352315565,0.2080501081733926,yolo11m.pt,16,20,115W
yolo11m_b16_e20_run1_20250727-144315.json,2025-07-27T14:43:15+08:00,CN,0.0003717677911210575,0.18290975323156028,yolo11m.pt,16,20,65W
yolo11m_b16_e20_run2_20250727-125029.json,2025-07-27T12:50:29+08:00,CN,0.0004144709582178884,0.2039197114432011,yolo11m.pt,16,20,115W
yolo11m_b16_e20_run2_20250727-144452.json,2025-07-27T14:44:52+08:00,CN,0.00036322590236972864,0.17870714396590648,yolo11m.pt,16,20,65W
yolo11m_b16_e5_run1_20250727-122224.json,2025-07-27T12:22:24+08:00,CN,8.349189860974588e-05,0.041078014115994974,yolo11m.pt,16,5,115W
