model,epochs,tag,recommended_batch,pred_score
yolo11m.pt,5,65W,3,0.038095184
yolo11m.pt,10,65W,5,0.038095184
yolo11m.pt,20,65W,2,0.038095184
yolo11n.pt,10,65W,5,0.038095184
yolo11n.pt,5,65W,5,0.038095184
yolo11n.pt,20,65W,9,0.038095184
yolo11x.pt,20,65W,3,0.038095184
yolo11x.pt,10,65W,3,0.038095184
yolo11x.pt,5,65W,3,0.038095184
yolo11s.pt,10,65W,3,0.038095184
yolo11s.pt,20,65W,11,0.038095184
yolo11s.pt,5,65W,11,0.038095184
yolo11x.pt,1,65W,3,0.038095184
