epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.26047,1.25981,1.90258,1.26531,0.6485,0.54976,0.58276,0.43813,1.05096,0.98184,1.03396,9.52e-06,9.52e-06,9.52e-06
2,3.94212,1.25696,1.6127,1.22911,0.69456,0.52318,0.59883,0.4494,1.04152,0.94618,1.02949,1.92286e-05,1.92286e-05,1.92286e-05
3,5.59213,1.2988,1.59757,1.2419,0.71666,0.51904,0.60342,0.44719,1.04014,0.92592,1.0279,2.78769e-05,2.78769e-05,2.78769e-05
4,7.31404,1.30135,1.63228,1.26372,0.7452,0.52146,0.61781,0.45559,1.04531,0.91336,1.02692,3.5465e-05,3.5465e-05,3.5465e-05
5,8.97134,1.22148,1.44842,1.21552,0.73444,0.52375,0.62359,0.46244,1.04024,0.92793,1.02417,4.19927e-05,4.19927e-05,4.19927e-05
6,10.5861,1.19514,1.34137,1.18394,0.79179,0.50762,0.63376,0.46937,1.03235,0.93815,1.01842,4.74602e-05,4.74602e-05,4.74602e-05
7,12.2918,1.23769,1.37368,1.22431,0.72607,0.55005,0.64013,0.47383,1.02307,0.94607,1.01387,5.18673e-05,5.18673e-05,5.18673e-05
8,13.8805,1.16926,1.26577,1.16472,0.75791,0.53783,0.64175,0.47786,1.01083,0.94351,1.00897,5.52142e-05,5.52142e-05,5.52142e-05
9,15.4948,1.21844,1.28606,1.17495,0.68309,0.59984,0.6567,0.48647,1.00383,0.91356,1.00893,5.75008e-05,5.75008e-05,5.75008e-05
10,17.0506,1.19068,1.25162,1.1764,0.68229,0.60621,0.66416,0.49415,0.9984,0.90034,1.00621,5.87271e-05,5.87271e-05,5.87271e-05
11,24.0629,1.11111,1.1689,1.10372,0.8234,0.54759,0.66563,0.49994,1,0.88938,1.00258,5.88931e-05,5.88931e-05,5.88931e-05
12,25.6657,1.12487,1.10692,1.13013,0.81214,0.56161,0.67095,0.51051,0.997,0.85861,0.99675,5.42045e-05,5.42045e-05,5.42045e-05
13,27.2353,1.06706,1.04607,1.08157,0.81148,0.56575,0.67636,0.5107,0.99272,0.83582,0.99142,4.8314e-05,4.8314e-05,4.8314e-05
14,28.7886,1.09919,1.02834,1.09599,0.81825,0.56838,0.68628,0.51735,0.98839,0.81881,0.98846,4.24235e-05,4.24235e-05,4.24235e-05
15,30.3661,1.07548,1.01817,1.08883,0.68366,0.63224,0.68702,0.51981,0.98363,0.80646,0.9876,3.6533e-05,3.6533e-05,3.6533e-05
16,31.9442,1.05518,1.00785,1.05318,0.68907,0.63714,0.68562,0.52008,0.98163,0.79425,0.98644,3.06425e-05,3.06425e-05,3.06425e-05
17,33.5715,1.03594,0.95545,1.07377,0.68989,0.62745,0.68656,0.5244,0.98048,0.78796,0.98499,2.4752e-05,2.4752e-05,2.4752e-05
18,35.1623,1.05669,0.99427,1.07245,0.71334,0.61754,0.68874,0.52437,0.97622,0.78391,0.98292,1.88615e-05,1.88615e-05,1.88615e-05
19,36.709,1.06955,0.99586,1.07465,0.74983,0.60427,0.68598,0.52362,0.9743,0.77961,0.98196,1.2971e-05,1.2971e-05,1.2971e-05
20,38.3247,1.02229,0.95374,1.05273,0.77089,0.59559,0.67989,0.52244,0.97249,0.77809,0.98043,7.0805e-06,7.0805e-06,7.0805e-06
