epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.84923,1.02064,1.25446,1.13286,0.75326,0.70288,0.76883,0.59891,0.83935,0.63574,0.95019,2.499e-05,2.499e-05,2.499e-05
2,7.33309,1.08086,1.21041,1.18706,0.81072,0.68161,0.77418,0.60183,0.83846,0.67678,0.94766,4.10383e-05,4.10383e-05,4.10383e-05
3,10.808,1.01559,0.96872,1.12865,0.79781,0.69629,0.77651,0.61088,0.83274,0.67231,0.94408,4.67194e-05,4.67194e-05,4.67194e-05
4,14.4037,1.05064,0.97686,1.10663,0.80641,0.71296,0.78085,0.61833,0.82147,0.6438,0.93913,4.20332e-05,4.20332e-05,4.20332e-05
5,17.8832,1.01818,1.00136,1.12463,0.83291,0.71462,0.78781,0.62517,0.81715,0.63337,0.93761,2.4752e-05,2.4752e-05,2.4752e-05
