epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.38513,1.03957,0.92991,1.03102,0.74525,0.62556,0.70011,0.54979,0.94374,0.75547,0.98727,8.33e-06,8.33e-06,8.33e-06
2,8.32205,1.11109,1.12901,1.0799,0.7874,0.61537,0.7149,0.55987,0.93019,0.72156,0.9803,1.60829e-05,1.60829e-05,1.60829e-05
3,10.2365,1.08684,0.95835,1.08142,0.76178,0.63965,0.72123,0.56262,0.92174,0.69338,0.97535,2.19507e-05,2.19507e-05,2.19507e-05
4,12.08,1.01656,1.10318,1.07384,0.77503,0.64905,0.72201,0.56438,0.9054,0.67758,0.96556,2.59337e-05,2.59337e-05,2.59337e-05
5,13.9068,0.95198,0.81451,1.04402,0.78288,0.65609,0.72637,0.56852,0.89227,0.66903,0.95841,2.80316e-05,2.80316e-05,2.80316e-05
6,15.7932,0.9337,0.89683,1.03117,0.80571,0.65326,0.73932,0.57774,0.886,0.66055,0.95254,2.82447e-05,2.82447e-05,2.82447e-05
7,17.7336,1.02026,0.86323,1.04877,0.81514,0.66623,0.75769,0.59627,0.87497,0.64441,0.94738,2.65727e-05,2.65727e-05,2.65727e-05
8,19.5641,0.95167,0.86114,1.01637,0.81402,0.67526,0.76393,0.60205,0.86573,0.63417,0.94377,2.30158e-05,2.30158e-05,2.30158e-05
9,21.4007,1.07625,0.92728,1.0546,0.73732,0.72299,0.76661,0.60468,0.86044,0.62853,0.94099,1.75739e-05,1.75739e-05,1.75739e-05
10,23.1705,0.89716,0.75397,0.96352,0.77928,0.70703,0.76834,0.60702,0.85675,0.62198,0.93905,1.02471e-05,1.02471e-05,1.02471e-05
