epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.9119,0.835,0.68734,1.00625,0.84713,0.70522,0.81007,0.66931,0.73605,0.51344,0.92592,7.14e-06,7.14e-06,7.14e-06
2,64.4013,0.82499,0.62839,0.98404,0.85452,0.73693,0.82063,0.68416,0.71592,0.50781,0.91061,1.39385e-05,1.39385e-05,1.39385e-05
3,94.5859,0.76983,0.54441,0.96763,0.79629,0.79497,0.83945,0.70424,0.69739,0.47043,0.8984,1.90876e-05,1.90876e-05,1.90876e-05
4,123.876,0.78286,0.54519,0.96797,0.80611,0.80258,0.84683,0.71364,0.68899,0.43652,0.89283,2.25874e-05,2.25874e-05,2.25874e-05
5,164.488,0.75756,0.50859,0.97629,0.86081,0.78242,0.85044,0.71721,0.67898,0.41857,0.88522,2.44378e-05,2.44378e-05,2.44378e-05
6,199.053,0.77692,0.5231,0.99681,0.89404,0.78158,0.85811,0.72464,0.67821,0.40054,0.88792,2.4639e-05,2.4639e-05,2.4639e-05
7,232.41,0.77209,0.50301,0.95238,0.86211,0.82001,0.86597,0.72601,0.67068,0.38747,0.88389,2.31907e-05,2.31907e-05,2.31907e-05
8,261.685,0.71866,0.44016,0.93472,0.89391,0.8054,0.86981,0.72785,0.65734,0.38515,0.87703,2.00932e-05,2.00932e-05,2.00932e-05
9,301.818,0.76252,0.47455,0.9515,0.88187,0.81607,0.87009,0.73415,0.64291,0.38073,0.87015,1.53462e-05,1.53462e-05,1.53462e-05
10,333.407,0.70292,0.42728,0.93601,0.88332,0.81701,0.86942,0.73937,0.63808,0.3796,0.86769,8.94999e-06,8.94999e-06,8.94999e-06
