epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.04016,0.9825,1.08985,1.14362,0.73129,0.69106,0.75891,0.59682,0.84567,0.66086,0.95949,5.95e-06,5.95e-06,5.95e-06
2,6.1918,0.9652,1.0188,1.1288,0.81369,0.69626,0.77762,0.60621,0.83571,0.61616,0.95422,1.2442e-05,1.2442e-05,1.2442e-05
3,9.37971,0.9994,0.95433,1.09046,0.78051,0.7276,0.78987,0.61561,0.82744,0.64471,0.9514,1.82272e-05,1.82272e-05,1.82272e-05
4,13.0624,0.96621,0.8661,1.10659,0.79912,0.74449,0.79856,0.62195,0.8267,0.69601,0.94706,2.33056e-05,2.33056e-05,2.33056e-05
5,16.3156,0.91802,0.81489,1.07802,0.82339,0.74447,0.80202,0.63045,0.81192,0.63982,0.93895,2.7677e-05,2.7677e-05,2.7677e-05
6,19.4614,0.91861,0.72794,1.07384,0.86109,0.73231,0.81214,0.64352,0.79283,0.59505,0.92677,3.13416e-05,3.13416e-05,3.13416e-05
7,22.5842,0.94724,0.72275,1.08308,0.85688,0.73927,0.81118,0.65387,0.78328,0.55905,0.92059,3.42994e-05,3.42994e-05,3.42994e-05
8,25.6889,0.89508,0.70373,1.05984,0.88597,0.72969,0.81696,0.65849,0.77512,0.52745,0.91318,3.65503e-05,3.65503e-05,3.65503e-05
9,28.8575,0.85737,0.68772,1.04728,0.9027,0.73032,0.82473,0.67482,0.76065,0.50837,0.90617,3.80943e-05,3.80943e-05,3.80943e-05
10,32.0043,0.82185,0.6741,1.04065,0.89055,0.7447,0.8292,0.6791,0.74315,0.49929,0.89816,3.89314e-05,3.89314e-05,3.89314e-05
11,39.3168,0.82317,0.62633,0.95368,0.89264,0.76433,0.8373,0.68751,0.73444,0.48397,0.89046,3.90618e-05,3.90618e-05,3.90618e-05
12,42.3682,0.76333,0.58361,0.9485,0.86822,0.77843,0.84543,0.69735,0.72853,0.47428,0.88728,3.84852e-05,3.84852e-05,3.84852e-05
13,45.4725,0.77853,0.57689,0.96927,0.86743,0.77272,0.84486,0.70733,0.71304,0.46122,0.87989,3.72018e-05,3.72018e-05,3.72018e-05
14,48.5211,0.76643,0.55226,0.93692,0.8509,0.79805,0.84796,0.71185,0.6926,0.4443,0.8736,3.52115e-05,3.52115e-05,3.52115e-05
15,51.5971,0.74812,0.53887,0.92956,0.90303,0.77972,0.85274,0.71733,0.67966,0.43262,0.87004,3.25144e-05,3.25144e-05,3.25144e-05
16,54.6963,0.72753,0.48954,0.91124,0.89413,0.78707,0.85506,0.72083,0.67272,0.42535,0.86724,2.91104e-05,2.91104e-05,2.91104e-05
17,57.8038,0.70372,0.52127,0.91641,0.88295,0.79657,0.85781,0.72564,0.66774,0.42123,0.86558,2.4752e-05,2.4752e-05,2.4752e-05
18,60.9198,0.74143,0.50996,0.91925,0.8772,0.80699,0.86091,0.72638,0.6619,0.41589,0.86379,1.88615e-05,1.88615e-05,1.88615e-05
19,64.0751,0.71405,0.48734,0.91582,0.88321,0.80945,0.86288,0.72889,0.65764,0.41239,0.86213,1.2971e-05,1.2971e-05,1.2971e-05
20,67.1991,0.72761,0.49212,0.93012,0.88374,0.80841,0.86324,0.72848,0.65346,0.41038,0.86029,7.0805e-06,7.0805e-06,7.0805e-06
