epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.6574,0.8944,0.86042,1.12507,0.82698,0.71542,0.80706,0.6685,0.75461,0.53118,0.94687,4.76e-06,4.76e-06,4.76e-06
2,118.676,0.96097,0.81126,1.15769,0.82437,0.74013,0.81572,0.67609,0.73846,0.49833,0.93675,8.58942e-06,8.58942e-06,8.58942e-06
3,182.258,0.92014,0.71233,1.1055,0.87623,0.72414,0.82505,0.68242,0.73275,0.52275,0.92974,1.00626e-05,1.00626e-05,1.00626e-05
4,247.7,0.90719,0.68889,1.09749,0.86212,0.75899,0.83013,0.68524,0.72736,0.51582,0.92878,9.17966e-06,9.17966e-06,9.17966e-06
5,313.761,0.87634,0.67369,1.05202,0.87858,0.7656,0.83708,0.69308,0.71139,0.47887,0.922,5.94048e-06,5.94048e-06,5.94048e-06
