epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.36559,1.12543,1.3924,1.20374,0.70687,0.64154,0.69716,0.54534,0.94763,0.76673,0.98884,8.33e-06,8.33e-06,8.33e-06
2,4.48715,1.12223,1.18874,1.16667,0.71183,0.65672,0.70711,0.55573,0.94297,0.73912,0.98848,1.43157e-05,1.43157e-05,1.43157e-05
3,6.55969,1.10346,1.13957,1.16478,0.7122,0.65053,0.7119,0.56156,0.93456,0.7285,0.98539,1.65315e-05,1.65315e-05,1.65315e-05
4,8.62444,1.10425,1.09156,1.14351,0.70025,0.65964,0.71274,0.56172,0.93201,0.71978,0.98315,1.49773e-05,1.49773e-05,1.49773e-05
5,10.6908,1.11326,1.11729,1.15996,0.68333,0.66256,0.71275,0.56191,0.93389,0.71626,0.98566,9.65328e-06,9.65328e-06,9.65328e-06
