epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.68122,1.01676,0.93728,1.05029,0.708,0.66281,0.70594,0.55262,0.93147,0.73846,0.97644,1.071e-05,1.071e-05,1.071e-05
2,9.72959,1.03501,1.00279,1.07091,0.76332,0.62886,0.7115,0.5575,0.91702,0.71621,0.9686,2.03716e-05,2.03716e-05,2.03716e-05
3,11.8231,0.97582,0.87006,1.03474,0.76344,0.64556,0.7102,0.55943,0.89925,0.69298,0.95837,2.7677e-05,2.7677e-05,2.7677e-05
4,13.8682,0.98635,0.84559,1.03883,0.77274,0.65688,0.72302,0.57028,0.88857,0.68687,0.9489,3.26262e-05,3.26262e-05,3.26262e-05
5,17.0809,0.97697,0.81056,1.03588,0.78234,0.66663,0.72743,0.57583,0.88311,0.68065,0.94468,3.52192e-05,3.52192e-05,3.52192e-05
6,20.0359,0.99322,0.80304,1.02891,0.761,0.68691,0.73933,0.58355,0.88009,0.66485,0.94118,3.54561e-05,3.54561e-05,3.54561e-05
7,23.33,0.94735,0.78006,1.00317,0.85413,0.64507,0.74479,0.58738,0.87475,0.6565,0.93808,3.33367e-05,3.33367e-05,3.33367e-05
8,26.3409,0.91892,0.76553,0.99239,0.79303,0.68617,0.75846,0.60646,0.86473,0.6348,0.93226,2.88611e-05,2.88611e-05,2.88611e-05
9,28.5948,0.93802,0.73039,0.99755,0.8014,0.6867,0.76114,0.60481,0.86424,0.63228,0.93152,2.20293e-05,2.20293e-05,2.20293e-05
10,30.5981,0.90197,0.70387,1.00038,0.78843,0.69493,0.7631,0.60543,0.8582,0.62813,0.92886,1.28413e-05,1.28413e-05,1.28413e-05
