eta,max_depth,subsample,colsample_bytree,min_child_weight,reg_lambda,avg_top1,avg_ndcg1,avg_best_iter
0.1,4,0.8,0.8,5.0,1.0,0.7666666666666666,0.941666666639503,9
0.05,4,0.8,0.8,5.0,1.0,0.75,0.941666666639503,23
0.1,4,0.8,1.0,5.0,5.0,0.75,0.941666666639503,13
0.1,4,1.0,0.8,5.0,5.0,0.75,0.941666666639503,15
0.1,4,1.0,1.0,5.0,5.0,0.75,0.941666666639503,2
0.1,6,0.8,1.0,1.0,1.0,0.75,0.941666666639503,12
0.05,6,0.8,0.8,5.0,5.0,0.75,0.9249999999650754,20
0.05,8,1.0,1.0,5.0,1.0,0.75,0.9249999999650754,10
0.1,6,0.8,1.0,1.0,5.0,0.75,0.9249999999650754,7
0.05,8,1.0,1.0,1.0,5.0,0.75,0.8833333332790062,15
0.1,6,1.0,1.0,1.0,5.0,0.75,0.8833333332790062,8
0.05,8,0.8,1.0,1.0,5.0,0.75,0.8499999999301509,3
0.05,4,0.8,1.0,5.0,1.0,0.7499999999999999,0.941666666639503,8
0.05,8,0.8,1.0,5.0,5.0,0.7499999999999999,0.941666666639503,14
0.1,4,1.0,0.8,5.0,1.0,0.7499999999999999,0.941666666639503,4
0.05,6,0.8,1.0,1.0,1.0,0.7499999999999999,0.9249999999650754,8
0.05,6,0.8,0.8,1.0,5.0,0.7499999999999999,0.9166666666278616,10
0.1,8,0.8,0.8,5.0,5.0,0.7499999999999999,0.9093749999577995,18
0.05,6,0.8,0.8,1.0,1.0,0.7499999999999999,0.8916666666162201,6
0.05,8,0.8,0.8,1.0,1.0,0.7499999999999999,0.8916666666162201,5
0.1,4,1.0,1.0,1.0,5.0,0.7499999999999999,0.8833333332790062,4
0.1,6,1.0,0.8,1.0,5.0,0.7499999999999999,0.8833333332790062,8
0.05,4,1.0,0.8,5.0,5.0,0.7499999999999999,0.8760416666089441,11
0.1,8,1.0,0.8,5.0,5.0,0.7499999999999999,0.8427083332600886,7
0.05,4,1.0,1.0,5.0,5.0,0.6833333333333333,0.941666666639503,18
0.05,6,1.0,1.0,5.0,1.0,0.6833333333333333,0.941666666639503,6
0.05,8,1.0,1.0,5.0,5.0,0.6833333333333333,0.941666666639503,21
0.1,4,1.0,1.0,5.0,1.0,0.6833333333333333,0.9249999999650754,4
0.05,4,1.0,1.0,5.0,1.0,0.6833333333333333,0.9083333332906477,8
0.05,8,0.8,0.8,1.0,5.0,0.6833333333333333,0.9083333332906477,7
0.1,8,0.8,0.8,1.0,5.0,0.6833333333333333,0.8833333332790062,7
0.05,4,0.8,0.8,5.0,5.0,0.6833333333333333,0.8760416666089441,19
0.05,4,0.8,1.0,1.0,5.0,0.6833333333333333,0.8499999999301509,2
0.1,8,1.0,1.0,1.0,5.0,0.6833333333333333,0.8499999999301509,5
0.05,4,1.0,1.0,1.0,5.0,0.6833333333333333,0.8333333332557231,7
0.1,6,1.0,1.0,1.0,1.0,0.6833333333333333,0.8333333332557231,1
0.05,8,1.0,0.8,5.0,5.0,0.6833333333333332,0.9093749999577995,13
0.1,6,0.8,1.0,5.0,5.0,0.6833333333333332,0.9093749999577995,8
0.1,8,0.8,1.0,5.0,1.0,0.6333333333333332,0.9166666666278616,9
0.1,4,0.8,1.0,5.0,1.0,0.6166666666666667,0.8916666666162201,12
0.1,4,0.8,0.8,5.0,5.0,0.6166666666666667,0.8749999999417923,17
0.05,6,0.8,1.0,5.0,5.0,0.6166666666666666,0.8760416666089441,9
