epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.23607,0.95099,0.93285,1.02311,0.77121,0.70588,0.76659,0.60164,0.8416,0.63452,0.95109,1.428e-05,1.428e-05,1.428e-05
2,10.4429,0.88543,0.82854,1.01836,0.83699,0.68868,0.77869,0.61645,0.81527,0.62504,0.938,2.68048e-05,2.68048e-05,2.68048e-05
3,13.5746,0.88391,0.75712,0.99526,0.81763,0.70745,0.7778,0.62691,0.8027,0.61277,0.9297,3.62664e-05,3.62664e-05,3.62664e-05
4,16.8588,0.87718,0.71553,0.99903,0.83334,0.73095,0.78859,0.637,0.78815,0.58521,0.92049,4.26651e-05,4.26651e-05,4.26651e-05
5,19.9555,0.86423,0.67382,1.00853,0.85247,0.73201,0.79996,0.64941,0.77634,0.5658,0.91252,4.60006e-05,4.60006e-05,4.60006e-05
6,23.0773,0.86961,0.67377,0.99753,0.86635,0.74481,0.80897,0.66149,0.77043,0.55395,0.91028,4.62732e-05,4.62732e-05,4.62732e-05
7,26.0956,0.85415,0.63263,0.97266,0.87584,0.74438,0.81682,0.66708,0.76025,0.54171,0.90776,4.34826e-05,4.34826e-05,4.34826e-05
8,29.2085,0.79775,0.57378,0.95243,0.88231,0.75043,0.82831,0.67762,0.75336,0.52542,0.90747,3.6533e-05,3.6533e-05,3.6533e-05
9,32.3581,0.81412,0.5813,0.96714,0.89098,0.75315,0.83453,0.68036,0.74418,0.51556,0.90669,2.4752e-05,2.4752e-05,2.4752e-05
10,35.611,0.8002,0.56167,0.96736,0.88947,0.76211,0.8406,0.68451,0.73334,0.5055,0.90235,1.2971e-05,1.2971e-05,1.2971e-05
