epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.45672,1.22201,1.43255,1.15186,0.62255,0.56449,0.61297,0.45973,1.01315,0.93354,1.02256,1.666e-05,1.666e-05,1.666e-05
2,8.26135,1.25824,1.46423,1.18038,0.65356,0.55197,0.6149,0.46235,1.01107,0.90978,1.0206,3.10935e-05,3.10935e-05,3.10935e-05
3,9.95295,1.25792,1.31275,1.23747,0.72295,0.55326,0.62987,0.47096,0.99908,0.87643,1.01282,4.19927e-05,4.19927e-05,4.19927e-05
4,11.6549,1.17087,1.31803,1.1171,0.74363,0.55146,0.63277,0.46962,0.99808,0.85935,1.00693,4.93576e-05,4.93576e-05,4.93576e-05
5,13.3965,1.07141,1.19022,1.09292,0.76143,0.54146,0.63716,0.47194,0.99219,0.84998,1.00533,5.31882e-05,5.31882e-05,5.31882e-05
6,15.1536,1.17554,1.31947,1.14854,0.67312,0.61516,0.64994,0.48525,0.9835,0.84093,1.00075,5.34846e-05,5.34846e-05,5.34846e-05
7,16.8765,1.17576,1.19182,1.10671,0.67586,0.61591,0.65294,0.49211,0.97887,0.83121,0.99767,4.8314e-05,4.8314e-05,4.8314e-05
8,18.7658,1.10875,1.33044,1.08144,0.66926,0.61861,0.65823,0.49519,0.9768,0.82073,0.9959,3.6533e-05,3.6533e-05,3.6533e-05
9,20.5693,1.23536,1.31152,1.18516,0.69619,0.60666,0.65747,0.49695,0.97165,0.81467,0.99323,2.4752e-05,2.4752e-05,2.4752e-05
10,22.4088,1.08395,1.15259,1.08741,0.70603,0.61085,0.66069,0.49916,0.97238,0.81062,0.99337,1.2971e-05,1.2971e-05,1.2971e-05
