epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.94264,1.07752,1.30629,1.16992,0.72921,0.62538,0.69198,0.54467,0.92488,0.75704,0.98765,4.76e-06,4.76e-06,4.76e-06
2,3.71521,1.1648,1.2258,1.17242,0.72004,0.65688,0.70175,0.55125,0.92068,0.74021,0.98568,8.58942e-06,8.58942e-06,8.58942e-06
3,5.48603,1.07341,1.1431,1.14625,0.69783,0.6753,0.71064,0.55965,0.91276,0.72056,0.98437,1.00626e-05,1.00626e-05,1.00626e-05
4,7.33321,1.11897,1.16115,1.14354,0.70692,0.67562,0.71472,0.56528,0.91349,0.70709,0.98581,9.17966e-06,9.17966e-06,9.17966e-06
5,9.08725,1.07669,1.02987,1.14567,0.782,0.63048,0.71618,0.5689,0.91055,0.69862,0.98487,5.94048e-06,5.94048e-06,5.94048e-06
