json_file,model,batch,epochs,tag,avg_step_time,avg_power,avg_mem,map50,pwr_mean,pwr_std,pwr_max,pwr_min,throughput,energy_per_img
yolo11n_b16_e100_run1_20250721-163202.json,yolo11n.pt,16,100.0,,0.09282991562503867,39.49774227101986,2854.6391015625,0.79005,39.49774227101994,9.867925412539588,84.459,16.275,172.35823055821436,0.22916075514989354
yolo11n_b16_e100_run1_20250722-124534.json,yolo11n.pt,16,100.0,,0.07857888512500494,36.671933091628254,2582.51890625,0.79005,36.67193309162821,9.22165777427999,50.881,12.493,203.6170400553134,0.18010247610743274
yolo11n_b16_e100_run2_20250722-124810.json,yolo11n.pt,16,100.0,,0.07977427875003058,36.559653390388405,2622.5847265625,0.79005,36.55965339038841,8.507156768726897,45.036,13.114,200.56589982010794,0.18228249878558409
yolo11n_b16_e100_run3_20250722-125046.json,yolo11n.pt,16,100.0,,0.07891483837500118,36.57345632680177,2664.6095361328125,0.79005,36.573456326801725,8.568170224849354,45.893,13.009,202.75020933285614,0.18038677467779538
yolo11n_b16_e100_run4_20250722-125321.json,yolo11n.pt,16,100.0,,0.07967008812504446,36.4784806739345,2664.60806640625,0.79005,36.47848067393459,8.563237066304014,45.349,12.961,200.82819507978385,0.1816402356225058
yolo11n_b16_e10_run1_20250721-152606.json,yolo11n.pt,16,10.0,,0.0885461362498063,26.465084285714287,2771.68828125,0.66065,26.465084285714287,12.691500871844857,47.696,15.417,180.69676078085226,0.14646130993909157
yolo11n_b16_e10_run1_20250721-182031.json,yolo11n.pt,16,10.0,,0.09369596625037957,25.978756569847825,2804.57890625,0.66065,25.978756569847857,12.392157336664496,47.526,14.638,170.76508883257483,0.15213154367470552
yolo11n_b16_e10_run2_20250721-152639.json,yolo11n.pt,16,10.0,,0.08404658374988686,27.583644305772204,2804.95703125,0.66065,27.583644305772232,12.969181756154999,48.779,15.359,190.37061693803275,0.14489444195451084
yolo11n_b16_e10_run2_20250721-182108.json,yolo11n.pt,16,10.0,,0.0867265587502061,25.868660738714123,2837.23828125,0.66065,25.86866073871409,12.69150228171226,47.847,15.351,184.48789195111442,0.14021874533407752
yolo11n_b16_e10_run3_20250721-152714.json,yolo11n.pt,16,10.0,,0.09270204749996083,27.14185840707963,2880.46328125,0.66065,27.141858407079646,12.281491361017517,47.385,15.385,172.5959720577559,0.1572566154556442
yolo11n_b16_e10_run3_20250721-182144.json,yolo11n.pt,16,10.0,,0.08849159249994046,26.65638373751781,2910.18203125,0.66065,26.65638373751783,12.731982568748654,47.919,15.438,180.80813722513543,0.14742911545140414
yolo11n_b16_e10_run4_20250721-182219.json,yolo11n.pt,16,10.0,,0.08766302624967466,27.1179460269865,2904.91171875,0.66065,27.117946026986505,12.784190497905689,48.365,15.423,182.5170848474944,0.14857757590006113
yolo11n_b16_e10_run5_20250721-182255.json,yolo11n.pt,16,10.0,,0.09216457500019715,26.9181317715959,2905.3037109375,0.66065,26.9181317715959,12.532783697199575,47.219,15.307,173.60249314843338,0.1550561359080275
yolo11n_b16_run10_20250719-211323.json,yolo11n.pt,16,,,0.11930159999928946,17.52214182692309,2408.72265625,0.59366,17.522141826923075,5.316734513866836,38.625,15.133,134.11387609298862,0.13065122221039985
yolo11n_b16_run1_20250719-211021.json,yolo11n.pt,16,,,0.14632427500009726,17.3333,2308.66015625,0.59366,17.3333,4.911846240080249,36.587,15.15,109.34617649729934,0.15851765974119914
yolo11n_b16_run2_20250719-211041.json,yolo11n.pt,16,,,0.12175126249985624,17.68907978723406,2365.41015625,0.59366,17.689079787234043,5.4857462305870435,39.151,15.177,131.41547505529064,0.1346042372847772
yolo11n_b16_run3_20250719-211101.json,yolo11n.pt,16,,,0.1137639875005334,17.459366047745355,2421.66015625,0.59366,17.45936604774536,5.349788947840228,38.463,14.854,140.64204632353434,0.12414044380143374
yolo11n_b16_run4_20250719-211121.json,yolo11n.pt,16,,,0.11408567500029676,17.604423376623405,2413.53515625,0.59366,17.604423376623377,5.631879613804666,39.785,15.182,140.24547779516035,0.1255257827445678
yolo11n_b16_run5_20250719-211141.json,yolo11n.pt,16,,,0.11581082500015327,17.477461152882217,2403.41015625,0.59366,17.477461152882206,5.35827602291203,39.184,15.069,138.15634246607624,0.12650494968896372
yolo11n_b16_run6_20250719-211201.json,yolo11n.pt,16,,,0.11240389999875333,18.28010416666667,2405.41015625,0.59366,18.280104166666668,7.604798023875517,65.53,15.158,142.34381547417354,0.12842218754479967
yolo11n_b16_run7_20250719-211221.json,yolo11n.pt,16,,,0.10815246250058408,17.664952755905524,2405.41015625,0.59366,17.66495275590551,5.742470180335829,40.319,15.207,147.93930373904885,0.11940675878172886
yolo11n_b16_run8_20250719-211241.json,yolo11n.pt,16,,,0.1157223499999418,17.546408970976252,2421.66015625,0.59366,17.546408970976252,5.6235510883512765,39.65,14.758,138.2619692739393,0.12690698001133952
yolo11n_b16_run9_20250719-211301.json,yolo11n.pt,16,,,0.10830226249981934,17.626031914893623,2411.50390625,0.59366,17.626031914893616,5.61563666736306,39.486,15.17,147.73467913495057,0.11930869595481267
yolo11n_b1_e100_run1_20250721-161038.json,yolo11n.pt,1,100.0,,0.05617536384372727,19.44171846965692,1422.7278533935546,0.6158,19.44171846965699,0.8545473482479822,20.273,13.047,17.801397829516034,1.0921456087802899
yolo11n_b1_e100_run1_20250722-105035.json,yolo11n.pt,1,100.0,,0.05087066922656217,17.516647856187152,1112.3714788818359,0.6158,17.516647856187095,0.7764170362929591,23.56,13.184,19.65769303223259,0.8910835990502659
