model,batch,avg_step_time_e100,avg_power_e100,avg_mem_e100,avg_map50_e100,avg_map95_e100,avg_step_time_e10,avg_power_e10,avg_mem_e10,avg_map50_e10,avg_map95_e10,avg_step_time_e1,avg_power_e1,avg_mem_e1,avg_map50_e1,avg_map95_e1,throughput_e1,throughput_e10,throughput_e100
yolo11n.pt,1,0.05618,19.44172,1422.73,0.6158,0.4458,0.0659095,22.076787,1918.7864999999997,0.59596,0.4424,0.07900860000000001,17.0705018,1791.0298,0.56124,0.4121399999999999,12.656850013795964,15.172319620085117,17.7999288002848
yolo11n.pt,1,0.05087,17.51665,1112.37,0.6158,0.4458,0.0659095,22.076787,1918.7864999999997,0.59596,0.4424,0.07900860000000001,17.0705018,1791.0298,0.56124,0.4121399999999999,12.656850013795964,15.172319620085117,19.657951641438963
yolo11n.pt,1,0.05182,17.62022,1158.27,0.6158,0.4458,0.0659095,22.076787,1918.7864999999997,0.59596,0.4424,0.07900860000000001,17.0705018,1791.0298,0.56124,0.4121399999999999,12.656850013795964,15.172319620085117,19.297568506368197
yolo11n.pt,1,0.05121,17.70164,1222.4,0.6158,0.4458,0.0659095,22.076787,1918.7864999999997,0.59596,0.4424,0.07900860000000001,17.0705018,1791.0298,0.56124,0.4121399999999999,12.656850013795964,15.172319620085117,19.527436047646944
yolo11n.pt,1,0.05198,17.7166,1214.45,0.6158,0.4458,0.0659095,22.076787,1918.7864999999997,0.59596,0.4424,0.07900860000000001,17.0705018,1791.0298,0.56124,0.4121399999999999,12.656850013795964,15.172319620085117,19.23816852635629
yolo11n.pt,1,0.0636308,26.130022799999995,1720.5644,0.72282,0.56188,0.0561,17.92197,1398.97,0.4647,0.3405,0.07900860000000001,17.0705018,1791.0298,0.56124,0.4121399999999999,12.656850013795964,17.825311942959004,15.715659711963388
yolo11n.pt,1,0.0636308,26.130022799999995,1720.5644,0.72282,0.56188,0.05502,18.05489,1432.83,0.4647,0.3405,0.07900860000000001,17.0705018,1791.0298,0.56124,0.4121399999999999,12.656850013795964,18.175209014903672,15.715659711963388
yolo11n.pt,1,0.0636308,26.130022799999995,1720.5644,0.72282,0.56188,0.05274,18.5339,1446.83,0.4647,0.3405,0.07900860000000001,17.0705018,1791.0298,0.56124,0.4121399999999999,12.656850013795964,18.960940462646946,15.715659711963388
yolo11n.pt,1,0.0636308,26.130022799999995,1720.5644,0.72282,0.56188,0.05599,18.51712,1481.09,0.4647,0.3405,0.07900860000000001,17.0705018,1791.0298,0.56124,0.4121399999999999,12.656850013795964,17.86033220217896,15.715659711963388
yolo11n.pt,1,0.0636308,26.130022799999995,1720.5644,0.72282,0.56188,0.05717,18.56827,1513.0,0.4647,0.3405,0.07900860000000001,17.0705018,1791.0298,0.56124,0.4121399999999999,12.656850013795964,17.491691446562882,15.715659711963388
