json_file,model,batch,epochs,tag,avg_step_time,avg_power,avg_mem,map50,pwr_mean,pwr_std,pwr_max,pwr_min,pwr_p95,power_peak_to_mean,power_range,power_slope,power_early_late,step_time_mean,step_time_std,step_time_p95,step_time_cv,step_time_slope,thr_mean,thr_std,thr_p95,throughput_var_ratio,gpu_util_mean,gpu_util_std,gpu_util_max,gpu_util_p95,gpu_util_slope,gpu_util_early_late,mem_util_mean,mem_util_std,mem_util_max,mem_util_p95,mem_util_slope,mem_util_early_late,temp_mean,temp_std,temp_max,temp_p95,temp_slope,temp_early_late,sm_clock_mean,sm_clock_std,sm_clock_max,sm_clock_p95,sm_clock_slope,sm_clock_early_late,mem_clock_mean,mem_clock_std,mem_clock_max,mem_clock_p95,mem_clock_slope,mem_clock_early_late,throughput,energy_per_img,power_limit_w,vram_total_mb,is65W
yolo11m_b16_e10_run1_20250726-153729.json,yolo11m.pt,16,10,115W,0.2032172912499391,37.28894965870306,4715.11875,0.83499,37.28894965870307,23.246812700132516,88.285,15.042,75.361,2.3675914931380935,73.243,0.04080505108883924,33.79011604095564,0.2032172912499391,0.034223086638100336,0.23709921999852668,0.16840637146377962,-0.0005837842791801453,80.18111779395437,9.237467720185135,90.09925995478972,0.013272772630971603,30.15443686006826,37.205465016203625,91.0,88.0,0.05615828321982125,46.962457337883954,22.49146757679181,29.312819631938275,72.0,71.0,0.042751659141406106,35.76450511945393,70.52389078498294,5.868026037066453,82.0,81.0,0.011798020015508677,9.648464163822524,2368.873720136519,314.4862315832664,2655.0,2655.0,0.7075095364985963,591.8088737201365,8181.569965870307,147.56820388420317,8200.0,8200.0,0.002898177519675986,0.0,78.73345767768075,0.473609958949811,115.0,8188.0,0
yolo11m_b16_e10_run1_20250726-165532.json,yolo11m.pt,16,10,65W,0.25044187749995217,29.147787878787845,4646.640625,0.83499,29.147787878787877,14.558254232461938,84.011,14.161,51.727,2.882242739976109,69.85,0.024598111718389607,19.91136805555555,0.25044187749995217,0.03677759497152832,0.2820458549977047,0.1468508195940008,-0.0005132565564936149,64.83540745563698,6.8688235509482585,73.02866575547901,0.01122380806619811,37.994805194805195,39.1476500080468,95.0,91.0,0.06355891025072388,50.375,24.368831168831168,25.725942873470583,64.0,60.0,0.039720331361861046,31.70138888888889,74.11948051948052,2.6809431189781456,80.0,78.0,0.005533084511573632,4.635416666666671,2014.8181818181818,310.69878206377797,2505.0,2490.0,0.03830484640125183,40.989583333333485,7532.467532467533,498.9447457739882,8000.0,8000.0,0.8091678640334435,649.3055555555547,63.8870789490989,0.4562391700833735,52.643,8188.0,1
yolo11m_b16_e10_run2_20250726-153825.json,yolo11m.pt,16,10,115W,0.1979467924995788,39.39500867052023,5007.357373046875,0.83499,39.395008670520234,22.831809686564675,78.642,15.253,76.079,1.9962427387114339,63.388999999999996,0.04555664142827475,32.49451351351352,0.1979467924995788,0.018073185436268253,0.22676522000165278,0.09130324976751876,-0.00037099526488070195,81.49766509803251,7.332840393216229,90.11981066333588,0.008095694880624203,34.152215799614645,38.46974075379782,92.0,90.0,0.06222417870861553,46.81467181467182,25.641618497109828,30.009579107815746,73.0,70.0,0.04630647709008806,34.810810810810814,73.92967244701349,5.705680002048189,84.0,83.0,0.013048110550370124,9.285714285714292,2390.549132947977,308.10438356142953,2640.0,2640.0,0.8116456346316707,595.9459459459458,8200.0,0.0,8200.0,8200.0,-1.54435736730015e-14,0.0,80.82980177632354,0.4873822254264109,115.0,8188.0,0
yolo11m_b16_e10_run2_20250726-165633.json,yolo11m.pt,16,10,65W,0.24624080375006088,29.460530909090913,4946.975,0.83499,29.46053090909091,14.393595122703617,82.046,13.565,49.77,2.784946417061422,68.48100000000001,0.02476337583449542,19.710203636363637,0.24624080375006088,0.021011979697044072,0.27317712500043856,0.0853310230353684,-0.0003293011404137367,65.45918739548209,5.658615837652247,73.31670328477256,0.007472728472485195,37.36090909090909,37.8719579527327,92.0,91.0,0.05602644600232199,45.63272727272727,23.834545454545456,25.07675285766276,67.0,59.0,0.03564549302031729,29.596363636363638,74.47,2.7102515817472805,81.0,79.0,0.006019032773054875,4.774545454545446,1919.2636363636364,339.1560428548468,2490.0,2490.0,-0.029475261023881292,3.545454545454504,7581.818181818182,493.26036240911037,8000.0,8000.0,0.9102156282773746,712.7272727272721,64.97704586864614,0.4533990506223787,52.643,8188.0,1
yolo11m_b16_e1_run1_20250726-153000.json,yolo11m.pt,16,1,115W,0.2510216624991699,22.370736170212766,4545.79296875,0.75866,22.370736170212766,14.14523484182549,70.071,14.984,62.06784999999995,3.132261695227599,55.086999999999996,0.04717290576525152,10.374316239316242,0.2510216624991699,0.08196846503509625,0.39144514499803323,0.32653940787029606,-0.022629589285229266,68.08029638251796,13.455737425244855,77.18862045691955,0.0390635881011531,10.691489361702128,24.687246511812397,85.0,83.0,0.05804214172010639,9.307692307692308,7.293617021276596,18.608936359960822,66.0,64.0,0.0400523470194764,5.051282051282052,65.6468085106383,2.6742945829738565,76.0,72.0,0.007995258832548183,1.5726495726495813,2182.021276595745,280.6678198141379,2655.0,2655.0,1.2944895486557682,393.58974358974365,8200.0,0.0,8200.0,8200.0,8.94957241173435e-15,0.0,63.739518895318085,0.35097121154857014,118.83,8188.0,0
yolo11m_b16_e1_run1_20250726-164531.json,yolo11m.pt,16,1,65W,0.29770185000006677,19.03179065420555,4497.515625,0.75866,19.031790654205608,9.177584500134495,59.443,13.535,40.5798,3.1233529771337833,45.908,0.02469756763280105,5.821902255639101,0.29770185000006677,0.08837845027736127,0.4489490350022605,0.2968689992263785,-0.023034971428733984,56.83375028825146,10.49246700502458,63.04068004928557,0.03408337515229222,10.480373831775701,24.098999239516797,86.0,76.0,0.05146393413589409,8.406015037593985,6.102803738317757,14.743751776197158,54.0,51.0,0.027976963862823858,3.6165413533834587,68.81308411214954,1.5170731851166288,74.0,73.0,0.004685043751107027,1.218045112781951,2065.373831775701,214.040677563104,2490.0,2490.0,0.510057739236198,272.03007518796994,7289.719626168225,453.6321906359475,8000.0,8000.0,0.786156375530745,157.89473684210498,53.74504726791725,0.35411245541068587,48.715,8188.0,1
yolo11m_b16_e1_run2_20250726-153023.json,yolo11m.pt,16,1,115W,0.224056400000336,22.773172985781983,4911.29296875,0.75866,22.77317298578199,14.403980572324299,71.249,15.084,61.216,3.128637368384414,56.16499999999999,0.051444468502665576,8.939247619047615,0.224056400000336,0.018841447967384312,0.25475367999843,0.08409243372363413,-0.00611884999965524,71.8840841019726,5.652911879634517,78.35623269142322,0.006184134745078791,11.976303317535544,25.80476107991335,84.0,83.0,0.07334973710139364,11.133333333333333,8.575829383886257,19.612542742921633,65.0,63.0,0.05416429045160341,7.685714285714286,65.86492890995261,3.22214675865062,77.0,73.0,0.01150155953958658,2.200000000000003,2197.6777251184835,290.972076356941,2655.0,2655.0,1.5252845649771967,410.42857142857156,8200.0,0.0,8200.0,8200.0,2.5406355652499336e-14,0.0,71.41059126173592,0.31890469723620085,118.83,8188.0,0
yolo11m_b16_e1_run2_20250726-164558.json,yolo11m.pt,16,1,65W,0.26797179999994114,18.913978431372552,4830.515625,0.75866,18.913978431372552,9.944673384828048,77.879,13.697,44.453,4.117536682331327,64.182,0.020817928512740547,4.022787401574794,0.26797179999994114,0.011621883552922036,0.28780736499938936,0.04336980067650622,-0.0016014880951670202,59.813783828060096,2.446304463314584,61.94845739088298,0.00167270155933311,11.405882352941177,24.993606333516308,92.0,83.0,0.04590826615114653,7.220472440944882,6.366666666666666,15.501450490849603,58.0,55.0,0.026687982833685734,3.7952755905511815,68.81372549019608,1.7774755846582344,75.0,73.0,0.004611411537190895,1.0393700787401627,2034.5,220.49253021894629,2505.0,2490.0,0.3326147532512002,111.61417322834632,7241.176470588235,427.7971255429814,8000.0,8000.0,0.8864045658632824,196.8503937007872,59.707775221137126,0.31677580283843537,48.715,8188.0,1
yolo11m_b1_e10_run1_20250726-153338.json,yolo11m.pt,1,10,115W,0.06791007031246181,28.474117712177293,1615.9569183349608,0.68352,28.474117712177122,6.473498298197903,37.052,14.996,35.323,1.3012519079442626,22.055999999999997,0.0034003486356543045,7.055233382570162,0.06791007031246181,0.012133191980292666,0.08480622999850311,0.1786655782340748,-5.151106046908647e-07,14.957757731195187,1.5688565759049224,16.60862230396962,0.011001033707076011,30.008856088560886,14.471702728852554,43.0,42.0,0.008705139747991033,19.608567208271786,7.6339483394833945,3.9182078869429158,15.0,11.0,0.0019811510903784677,4.293943870014771,69.00738007380073,2.6772137026743774,74.0,72.0,0.0025614305120332218,5.304283604135904,2368.2453874538746,197.9726413479066,2655.0,2610.0,0.0901575964121861,173.46381093057607,8200.0,0.0,8200.0,8200.0,-1.916749590193065e-15,0.0,14.725356569340724,1.9336793359192743,115.841,8188.0,0
yolo11m_b1_e10_run1_20250726-164935.json,yolo11m.pt,1,10,65W,0.0738261418750227,25.541412563667244,1551.68974609375,0.68352,25.541412563667233,5.966250773526835,43.193,13.291,34.3482,1.6910967587376988,29.901999999999997,0.0020164696483818785,4.744305706521736,0.0738261418750227,0.013542179802586887,0.09105594999909951,0.18343339444057494,3.7600726236991542e-06,13.772204606652858,1.5116121305396437,15.600148427557267,0.01204685836894556,29.482173174872667,14.260483756699976,43.0,40.0,0.006925794627349271,17.61413043478261,7.14634974533107,3.5845321001253856,14.0,10.0,0.001547580840603665,3.8532608695652177,72.22614601018675,2.3284894407008205,77.0,74.0,0.0020440937352149994,4.702445652173907,2112.376910016978,128.38398954214503,2505.0,2385.0,-0.026233022447157913,-62.262228260869506,7841.086587436333,365.5953225508184,8000.0,8000.0,0.20693682866484303,502.717391304348,13.545337391365509,1.8856239476137853,46.707,8188.0,1
