model,batch,avg_step_time_e100,avg_power_e100,avg_mem_e100,avg_map50_e100,avg_map95_e100,avg_step_time_e10,avg_power_e10,avg_mem_e10,avg_map50_e10,avg_map95_e10,avg_step_time_e1,avg_power_e1,avg_mem_e1,avg_map50_e1,avg_map95_e1
yolo11n.pt,4,,,,,,,,,,,0.07026,16.61433,1673.42,0.5828,0.4315
yolo11n.pt,4,,,,,,,,,,,0.06825,16.65208,1671.69,0.5828,0.4315
yolo11n.pt,4,,,,,,,,,,,0.06616,16.636,1684.78,0.5828,0.4315
yolo11n.pt,8,0.07549,34.75925,2089.25,0.7753,0.6224,,,,,,,,,,
yolo11n.pt,8,0.06485,32.75349,1813.22,0.7753,0.6224,,,,,,,,,,
yolo11n.pt,8,0.06497,32.62075,1865.23,0.7753,0.6224,,,,,,,,,,
yolo11n.pt,8,0.06424,32.63124,1919.36,0.7753,0.6224,,,,,,,,,,
yolo11n.pt,8,0.06444,32.66535,1919.36,0.7753,0.6224,,,,,,,,,,
yolo11n.pt,8,,,,,,0.07358,25.10731,2049.42,0.659,0.492,,,,,
yolo11n.pt,8,,,,,,0.06603,23.37319,1852.56,0.659,0.492,,,,,
yolo11n.pt,8,,,,,,0.07203,26.35439,2089.66,0.659,0.492,,,,,
yolo11n.pt,8,,,,,,0.0634,24.26707,1910.98,0.659,0.492,,,,,
yolo11n.pt,8,,,,,,0.06853,26.52291,2140.48,0.659,0.492,,,,,
yolo11n.pt,8,,,,,,0.06273,24.5999,1962.76,0.659,0.492,,,,,
yolo11n.pt,8,,,,,,0.06466,24.78735,1962.76,0.659,0.492,,,,,
yolo11n.pt,8,,,,,,0.06935,24.79898,1962.76,0.659,0.492,,,,,
yolo11n.pt,8,,,,,,,,,,,0.08405,17.44681,1919.54,0.5924,0.4435
yolo11n.pt,8,,,,,,,,,,,0.10556,16.91078,1808.91,0.5924,0.4435
yolo11n.pt,8,,,,,,,,,,,0.07892,17.55521,1872.1,0.5924,0.4435
yolo11n.pt,8,,,,,,,,,,,0.0826,17.40145,1907.96,0.5924,0.4435
yolo11n.pt,8,,,,,,,,,,,0.08158,17.31396,1900.91,0.5924,0.4435
yolo11n.pt,8,,,,,,,,,,,0.07977,17.58532,1902.91,0.5924,0.4435
yolo11n.pt,8,,,,,,,,,,,0.08831,17.47021,1919.16,0.5924,0.4435
yolo11n.pt,8,,,,,,,,,,,0.08888,17.47668,1908.05,0.5924,0.4435
yolo11n.pt,8,,,,,,,,,,,0.08067,17.57417,1904.91,0.5924,0.4435
yolo11n.pt,8,,,,,,,,,,,0.07995,17.63698,1901.04,0.5924,0.4435
yolo11n.pt,16,0.09283,39.49774,2854.64,0.7901,0.6396,,,,,,,,,,
yolo11n.pt,16,0.07858,36.67193,2582.52,0.7901,0.6396,,,,,,,,,,
yolo11n.pt,16,0.07977,36.55965,2622.58,0.7901,0.6396,,,,,,,,,,
yolo11n.pt,16,0.07891,36.57346,2664.61,0.7901,0.6396,,,,,,,,,,
yolo11n.pt,16,0.07967,36.47848,2664.61,0.7901,0.6396,,,,,,,,,,
yolo11n.pt,16,,,,,,0.08855,26.46508,2771.69,0.6606,0.4972,,,,,
yolo11n.pt,16,,,,,,0.0937,25.97876,2804.58,0.6606,0.4972,,,,,
yolo11n.pt,16,,,,,,0.08405,27.58364,2804.96,0.6606,0.4972,,,,,
yolo11n.pt,16,,,,,,0.08673,25.86866,2837.24,0.6606,0.4972,,,,,
yolo11n.pt,16,,,,,,0.0927,27.14186,2880.46,0.6606,0.4972,,,,,
yolo11n.pt,16,,,,,,0.08849,26.65638,2910.18,0.6606,0.4972,,,,,
yolo11n.pt,16,,,,,,0.08766,27.11795,2904.91,0.6606,0.4972,,,,,
yolo11n.pt,16,,,,,,0.09216,26.91813,2905.3,0.6606,0.4972,,,,,
yolo11n.pt,16,,,,,,,,,,,0.1193,17.52214,2408.72,0.5937,0.4363
yolo11n.pt,16,,,,,,,,,,,0.14632,17.3333,2308.66,0.5937,0.4363
yolo11n.pt,16,,,,,,,,,,,0.12175,17.68908,2365.41,0.5937,0.4363
yolo11n.pt,16,,,,,,,,,,,0.11376,17.45937,2421.66,0.5937,0.4363
yolo11n.pt,16,,,,,,,,,,,0.11409,17.60442,2413.54,0.5937,0.4363
yolo11n.pt,16,,,,,,,,,,,0.11581,17.47746,2403.41,0.5937,0.4363
yolo11n.pt,16,,,,,,,,,,,0.1124,18.2801,2405.41,0.5937,0.4363
yolo11n.pt,16,,,,,,,,,,,0.10815,17.66495,2405.41,0.5937,0.4363
yolo11n.pt,16,,,,,,,,,,,0.11572,17.54641,2421.66,0.5937,0.4363
yolo11n.pt,16,,,,,,,,,,,0.1083,17.62603,2411.5,0.5937,0.4363
