model,epochs,tag,batch,avg_mem,avg_power,avg_step_time,energy_per_img,gpu_util_early_late,gpu_util_max,gpu_util_mean,gpu_util_p95,gpu_util_slope,gpu_util_std,is65W,map50,mem_clock_early_late,mem_clock_max,mem_clock_mean,mem_clock_p95,mem_clock_slope,mem_clock_std,mem_util_early_late,mem_util_max,mem_util_mean,mem_util_p95,mem_util_slope,mem_util_std,power_early_late,power_limit_w,power_peak_to_mean,power_range,power_slope,pwr_max,pwr_mean,pwr_min,pwr_p95,pwr_std,sm_clock_early_late,sm_clock_max,sm_clock_mean,sm_clock_p95,sm_clock_slope,sm_clock_std,step_time_cv,step_time_mean,step_time_p95,step_time_slope,step_time_std,temp_early_late,temp_max,temp_mean,temp_p95,temp_slope,temp_std,thr_mean,thr_p95,thr_std,throughput,throughput_var_ratio,vram_total_mb,n_logs
yolo11m.pt,1,115W,1,1790.4140625,22.50747579811113,0.072492846093823,1.6302088957108325,15.013127473647085,43.0,15.018230199616003,41.0,0.04491080931768775,17.444634797531208,0.0,0.70007,0.0,8200.0,8200.0,8200.0,-3.1319989194201618e-15,0.0,2.8934519377718564,13.5,4.031779655861332,13.0,0.01018293885886535,4.574974664539809,8.044130059955325,115.084,1.786795869914429,24.851,0.02513748783674625,40.131,22.50747579811116,15.28,36.352199999999996,8.254688775892532,220.91951095262357,2655.0,2197.535534471053,2655.0,0.7524152115457066,257.812252122362,0.2878090884100052,0.072492846093823,0.10034528749956731,-0.00018574811017975,0.02117487286793785,1.8161565892080347,73.0,67.81942940436416,71.5,0.00598637060936655,2.0298761632764277,14.361322434095502,16.450066137649582,2.178926531107365,13.814941952628802,0.0233237402994699,8188.0,2
yolo11m.pt,1,115W,8,3085.866943359375,22.33006736623181,0.13878814062445594,0.3868727985791621,8.42291619177874,79.0,9.560814898846662,65.5,0.0534495991583227,21.608122475199067,0.0,0.76219,0.0,8200.0,8200.0,8200.0,-7.371820629299444e-15,0.0,4.47899095813388,54.0,5.660814898846663,42.5,0.032941720579814746,14.000444111866258,9.64681676924246,116.087,2.9244233807428905,50.15,0.0453683682242709,65.277,22.330067366231802,15.126999999999999,57.39182499999998,13.125482441550128,418.04764075678145,2655.0,2189.264818491208,2655.0,1.3832542631449305,282.30073129092284,0.3013682924628629,0.13878814062445594,0.18907995000017758,-0.0054068384558751004,0.043382023243093495,1.9947572372920064,77.0,66.76154282473057,73.5,0.0094889408575914,2.861615509724619,61.59329123635928,81.24236452533209,12.339352569651895,57.93021399446643,0.042339977937110446,8188.0,2
yolo11m.pt,1,115W,16,4728.54296875,22.571954577997374,0.23753903124975295,0.33493795439238544,10.22051282051282,84.5,11.333896339618835,83.0,0.06569593941074994,25.246003795862876,0.0,0.75866,0.0,8200.0,8200.0,8200.0,1.7177964032116843e-14,0.0,6.368498168498169,65.5,7.934723202581426,63.5,0.0471083187355399,19.11073955144123,9.656781929181928,118.83,3.1304495318060064,55.626,0.0493086871339585,70.66,22.57195457799738,15.033999999999999,61.64192499999997,14.274607707074896,402.00915750915766,2655.0,2189.8495008571144,2655.0,1.4098870568164825,285.8199480855394,0.20531592079696506,0.23753903124975295,0.3230994124982316,-0.0143742196424422,0.050404956501240245,1.886324786324792,76.5,65.75586871029546,72.5,0.0097484091860673,2.9482206708122383,69.98219024224528,77.77242657417139,9.554324652439686,67.575055078527,0.022623861423115902,8188.0,2
yolo11m.pt,1,115W,32,7936.91796875,22.471248028365743,0.4414432124995073,0.3098216401826501,15.567976748221412,92.0,11.671440850972386,87.5,0.0734041334781872,26.279035942372147,0.0,0.75759,0.0,8200.0,8200.0,8200.0,-1.0618003780261268e-15,0.0,10.751735207357278,75.0,8.579998925539918,68.5,0.0561207652593906,21.466845169292107,12.591979307652267,115.0,3.167519797620014,56.1075,0.0537354058051458,71.16749999999999,22.47124802836575,15.059999999999999,60.0275,14.084333299623502,450.9571837584592,2655.0,2180.2935156333942,2655.0,1.4578671225711965,283.7753299287681,0.15103404389039884,0.4414432124995073,0.5364400399991609,-0.0498922749997291,0.06844500065243365,2.520822488287344,76.0,65.39008273342645,72.5,0.011072070079486851,3.083654261159071,74.45091573006042,81.63288586980755,9.13262556046278,72.62509590437273,0.0199450300043531,8188.0,2
yolo11m.pt,1,65W,1,1726.775390625,20.425736332663735,0.07928551835937009,1.616128464303667,8.97107843137255,44.0,13.617728149986213,41.0,0.02811462240466,16.970470500818383,1.0,0.70007,304.9019607843138,8000.0,7430.204204397753,8000.0,0.8863059987208859,494.3377974609092,1.9259803921568626,15.0,3.8272784563107143,14.0,0.0068613535424393,5.007387255884973,5.75588088235294,52.116,2.078672378208444,28.556,0.01597798014524575,42.325500000000005,20.425736332663753,13.7695,32.8175,7.521403089360557,122.4779411764705,2505.0,2096.0762087374987,2392.5,0.3073550827309501,142.07535068864325,0.3021019331036764,0.07928551835937009,0.10937768499970835,-0.0001542385682293,0.024367961131007247,1.881372549019609,75.0,70.00092559769979,73.0,0.005091007286756349,1.8965390760401188,13.168670555940137,15.437887332802443,2.093387032113661,12.637489291695939,0.0254867348640275,8188.0,2
yolo11m.pt,1,65W,8,3019.75,19.13387635155747,0.16366917187474425,0.39146103141140787,11.817152398299939,76.5,11.054949214204205,70.5,0.057321274512305946,22.36845385386405,1.0,0.76219,263.29690346083817,8000.0,7257.544430509892,8000.0,1.101579914176243,437.2582014222912,5.60066788099575,43.5,5.793936209876962,39.5,0.0297459352787822,12.259240429967209,5.579289435336976,46.385,3.037211331057768,44.406,0.02633842789603435,58.11749999999999,19.13387635155747,13.711500000000001,40.076699999999995,9.32115611559096,107.64708561020029,2505.0,2024.0536555604517,2498.9999999999995,0.2156428060197458,172.91329233830749,0.28943884363173167,0.16366917187474425,0.22055704999957015,-0.005169887867652751,0.04883182390132515,1.284881602914389,74.5,69.43145894767764,73.94999999999999,0.0051651200768078505,1.708469390477169,51.912655744514566,66.76727650360513,9.817178605703779,49.038837041295665,0.03782539220347715,8188.0,2
yolo11m.pt,1,65W,16,4664.015625,18.972884542789053,0.2828368250000039,0.33544412912456056,7.813243739269433,89.0,10.943128092358439,79.5,0.04868610014352025,24.546302786516556,1.0,0.75866,177.3725652714461,8000.0,7265.44804837823,8000.0,0.8362804706970137,440.7146580894645,3.70590847196732,56.0,6.234735202492212,53.0,0.027332473348254747,15.122601133523382,4.922344828606947,48.715,3.6204448297325555,55.045,0.02275774807277075,68.661,18.97288454278908,13.616,42.516400000000004,9.561128942481272,191.82212420815813,2497.5,2049.936915887851,2490.0,0.42133624624369914,217.26660389102514,0.17011939995144235,0.2828368250000039,0.3683782000008249,-0.01231822976195045,0.0500001669151416,1.1287075957610568,74.5,68.81340480117281,73.0,0.0046482276441489005,1.6472743848874316,58.32376705815578,62.494568720084274,6.469385734169582,56.726411244527185,0.01787803835581265,8188.0,2
yolo11m.pt,1,65W,32,7864.265625,17.972865525006753,0.540007662500102,0.30341584127304844,19.18523842917251,90.0,11.52578426504282,83.5,0.071040946884363,25.30692828012601,1.0,0.75759,272.826086956522,8000.0,7242.477502199688,8000.0,0.971945453687219,428.33162623953456,11.656977559607292,65.0,7.322750873341523,50.5,0.04565803994500435,16.929016881097215,6.007991374474052,51.275,3.0839769196500626,42.0185,0.024476281876071898,55.485,17.97286552500675,13.4665,39.21979999999999,8.167162393400188,76.7366760168303,2257.5,1990.1384823458693,2257.5,-0.030525170693153858,224.81070718334576,0.11066651320618781,0.540007662500102,0.6248478824992161,-0.044571944999916,0.06119590529296415,1.9503155680224467,73.5,68.02622202475848,72.5,0.0064574665143323,1.6902875647506277,60.18697181748006,64.20028669273336,5.609585531847909,59.34371755660257,0.01198455799023835,8188.0,2
yolo11m.pt,10,115W,1,1812.7698791503906,27.130227639157468,0.0701481367578253,1.9001272034238683,17.55428360413589,46.5,30.191200531052928,42.0,0.00802518516330825,14.249075305076694,0.0,0.68352,0.0,8200.0,8200.0,8200.0,-2.4541086356419902e-17,0.0,3.860954985854843,15.0,7.511859531293725,12.0,0.00181517940417405,3.838733521386671,6.500688725183389,115.841,1.3661017346129523,21.879,0.0031248759472828503,36.9755,27.130227639157344,15.096499999999999,34.0865,5.852830658872749,157.1556342788474,2655.0,2298.8978260020695,2565.0,0.081130663954132,185.9555481308728,0.1635891363078892,0.0701481367578253,0.0900956224996662,-2.7946047681412307e-06,0.0114417310270298,3.7736107286216267,74.0,69.32167945488979,72.0,0.0017947625474089,2.0611544068002585,14.512391874154885,16.284835497719108,1.6523520486954202,14.27007192978937,0.0131140908023984,8188.0,2
yolo11m.pt,10,115W,8,3623.4428833007814,39.13714407524766,0.11058629156250385,0.5410147988627186,44.037789310427115,83.0,34.484410207941266,82.0,0.05881619476624125,34.210485960362504,0.0,0.81302,0.0,8200.0,8200.0,8200.0,-4.882113718665758e-15,0.0,27.302180267239326,55.5,21.976213532290455,53.5,0.03668968536874935,22.066282006250884,32.73826694106418,116.654,1.7818771630408479,55.060500000000005,0.043192167790487956,69.694,39.13714407524768,14.6335,68.1395,20.837483839952597,608.5862562634218,2655.0,2418.4559105472836,2655.0,0.7966284880882142,306.36648013250215,0.19799667773858542,0.11058629156250385,0.13866061000080654,-0.00012667648401820056,0.021890086664736248,11.54909329515629,78.5,68.4761471492912,77.0,0.0153447797387265,6.112118037488118,73.96995222852699,82.33095428134206,9.06722328609041,72.34173832275576,0.01507094992133235,8188.0,2
