epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5536,1.00276,1.33066,1.16745,0.82171,0.67839,0.78985,0.64026,0.76668,0.59119,0.93482,3.90469e-05,3.90469e-05,3.90469e-05
2,22.1288,1.07232,1.12088,1.20446,0.68563,0.77015,0.78582,0.62064,0.81205,0.61426,0.95766,6.31283e-05,6.31283e-05,6.31283e-05
3,32.78,1.01142,1.07602,1.13999,0.71158,0.76748,0.79565,0.62208,0.80293,0.59981,0.96247,7.15016e-05,7.15016e-05,7.15016e-05
4,43.7379,0.96637,1.03711,1.15548,0.76612,0.74039,0.7905,0.63408,0.77911,0.6055,0.95241,4.8314e-05,4.8314e-05,4.8314e-05
5,55.0497,0.93497,1.06025,1.15717,0.82677,0.71087,0.80944,0.64346,0.76995,0.60028,0.95255,2.4752e-05,2.4752e-05,2.4752e-05
