epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4188,0.86623,0.82259,1.01805,0.8439,0.71098,0.80427,0.65248,0.77599,0.61239,0.93312,2.975e-05,2.975e-05,2.975e-05
2,23.7068,0.88553,0.7826,1.02527,0.77169,0.76324,0.80382,0.65975,0.77279,0.58596,0.93455,5.46817e-05,5.46817e-05,5.46817e-05
3,34.2261,0.87392,0.70266,1.02952,0.8171,0.7552,0.82119,0.66611,0.76397,0.57789,0.93746,7.34873e-05,7.34873e-05,7.34873e-05
4,44.819,0.85941,0.72845,1.03787,0.87758,0.73783,0.83155,0.66918,0.78176,0.61287,0.95219,8.3657e-05,8.3657e-05,8.3657e-05
5,55.041,0.85035,0.68747,1.02555,0.8783,0.74024,0.8367,0.67692,0.77496,0.61111,0.94436,7.1876e-05,7.1876e-05,7.1876e-05
6,63.1024,0.82917,0.62771,0.99081,0.88592,0.73461,0.8392,0.67792,0.75896,0.59887,0.93184,6.0095e-05,6.0095e-05,6.0095e-05
7,71.1039,0.80663,0.58448,0.98549,0.82244,0.79373,0.84536,0.6889,0.74226,0.58884,0.92055,4.8314e-05,4.8314e-05,4.8314e-05
8,79.2042,0.77878,0.54082,0.96286,0.85083,0.7913,0.8529,0.70309,0.72385,0.55605,0.91096,3.6533e-05,3.6533e-05,3.6533e-05
9,87.1474,0.79495,0.55407,0.98878,0.86462,0.78614,0.85934,0.712,0.70483,0.52234,0.89967,2.4752e-05,2.4752e-05,2.4752e-05
10,95.3455,0.75979,0.54022,0.96872,0.8719,0.78917,0.85989,0.71585,0.68713,0.50773,0.89011,1.2971e-05,1.2971e-05,1.2971e-05
