epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.45027,1.40369,2.19186,1.29742,0.64696,0.51277,0.58853,0.43096,1.05795,0.99647,1.03293,3.87442e-05,3.87442e-05,3.87442e-05
2,12.1018,1.35788,2.03442,1.25836,0.68089,0.49071,0.57802,0.42622,1.07363,1.00485,1.03561,7.06482e-05,7.06482e-05,7.06482e-05
3,15.723,1.30623,1.90024,1.25273,0.64377,0.50904,0.57602,0.42652,1.07057,1.00591,1.03385,9.46982e-05,9.46982e-05,9.46982e-05
4,19.1564,1.312,1.8609,1.23451,0.73287,0.47976,0.59178,0.42776,1.07452,1.00392,1.0332,8.3657e-05,8.3657e-05,8.3657e-05
5,22.5147,1.26919,1.76874,1.21708,0.7607,0.47987,0.59645,0.42561,1.06703,0.9917,1.03251,7.1876e-05,7.1876e-05,7.1876e-05
6,25.889,1.2841,1.74929,1.22796,0.74437,0.48022,0.58507,0.42706,1.06119,0.996,1.02547,6.0095e-05,6.0095e-05,6.0095e-05
7,29.3507,1.28205,1.63686,1.19029,0.76987,0.49489,0.60315,0.43994,1.04457,0.97364,1.02409,4.8314e-05,4.8314e-05,4.8314e-05
8,32.9591,1.30061,1.73935,1.20286,0.77289,0.4953,0.61012,0.43987,1.04651,0.97447,1.02428,3.6533e-05,3.6533e-05,3.6533e-05
9,36.3306,1.29233,1.71524,1.23904,0.75613,0.50231,0.60781,0.4474,1.03953,0.97064,1.01922,2.4752e-05,2.4752e-05,2.4752e-05
10,39.7178,1.27072,1.65093,1.22837,0.68576,0.53215,0.61108,0.45085,1.03454,0.95997,1.01836,1.2971e-05,1.2971e-05,1.2971e-05
