epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.95979,0.88207,0.87857,1.14285,0.84927,0.71652,0.80959,0.66683,0.75228,0.53244,0.93352,1.071e-05,1.071e-05,1.071e-05
2,14.8015,0.93679,0.77223,1.11921,0.85199,0.73434,0.82196,0.66826,0.7473,0.58691,0.93132,1.81332e-05,1.81332e-05,1.81332e-05
3,22.8626,0.91562,0.74357,1.08675,0.78657,0.78005,0.83086,0.68057,0.73613,0.55598,0.92531,2.0844e-05,2.0844e-05,2.0844e-05
4,30.8929,0.92513,0.72955,1.0856,0.81811,0.79511,0.84139,0.69228,0.73243,0.49343,0.92304,1.88425e-05,1.88425e-05,1.88425e-05
5,38.6813,0.87666,0.66901,1.04404,0.80947,0.81064,0.84606,0.6976,0.71782,0.46373,0.91788,1.21285e-05,1.21285e-05,1.21285e-05
