epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6487,0.82977,0.65925,0.99441,0.84202,0.71517,0.81133,0.67006,0.74004,0.50809,0.92266,9.52e-06,9.52e-06,9.52e-06
2,17.1554,0.83457,0.6076,0.99282,0.85024,0.74656,0.8199,0.67755,0.73308,0.50101,0.92429,1.82272e-05,1.82272e-05,1.82272e-05
3,23.3561,0.79409,0.53708,0.98874,0.8342,0.76906,0.82906,0.68984,0.72544,0.47586,0.91591,2.48139e-05,2.48139e-05,2.48139e-05
4,29.7473,0.79416,0.53905,0.97482,0.87851,0.77287,0.8401,0.70367,0.70233,0.44982,0.90613,2.928e-05,2.928e-05,2.928e-05
5,35.9867,0.75571,0.4936,0.96792,0.89361,0.75856,0.8416,0.70704,0.69816,0.43768,0.90736,3.16254e-05,3.16254e-05,3.16254e-05
6,42.4385,0.76675,0.54417,0.97763,0.88982,0.77743,0.84738,0.70791,0.70398,0.43878,0.9104,3.18503e-05,3.18503e-05,3.18503e-05
7,48.7711,0.75033,0.50136,0.96763,0.89842,0.79893,0.86223,0.71582,0.69667,0.43022,0.90674,2.99547e-05,2.99547e-05,2.99547e-05
8,55.2082,0.70148,0.46307,0.94727,0.89246,0.80421,0.86442,0.72536,0.68005,0.4152,0.90233,2.59384e-05,2.59384e-05,2.59384e-05
9,61.652,0.74816,0.50859,0.95474,0.91002,0.79696,0.86416,0.72912,0.66136,0.40063,0.89515,1.98016e-05,1.98016e-05,1.98016e-05
10,67.9585,0.72693,0.4563,0.94552,0.9148,0.79709,0.86559,0.73289,0.65404,0.39601,0.89081,1.15442e-05,1.15442e-05,1.15442e-05
