epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4352,0.93794,0.94396,1.12519,0.82706,0.71556,0.81047,0.66219,0.74094,0.50999,0.92569,7.14e-06,7.14e-06,7.14e-06
2,51.7854,0.93366,0.74926,1.10309,0.86949,0.73845,0.82218,0.68286,0.72199,0.51729,0.91357,1.47042e-05,1.47042e-05,1.47042e-05
3,81.3422,0.88742,0.68369,1.06544,0.88405,0.75653,0.83155,0.68536,0.72867,0.49895,0.91558,2.14438e-05,2.14438e-05,2.14438e-05
4,110.621,0.87378,0.65063,1.06705,0.87475,0.77286,0.83756,0.69161,0.72267,0.46604,0.91089,2.73587e-05,2.73587e-05,2.73587e-05
5,142.919,0.84613,0.6163,1.03276,0.8331,0.79613,0.84297,0.70215,0.7098,0.43355,0.9027,3.24489e-05,3.24489e-05,3.24489e-05
6,169.474,0.78514,0.58922,1.02302,0.8873,0.79139,0.85052,0.70219,0.72178,0.42152,0.90595,3.67145e-05,3.67145e-05,3.67145e-05
7,204.026,0.81763,0.60961,1.03895,0.9068,0.78476,0.85625,0.72088,0.68416,0.41111,0.89052,4.01554e-05,4.01554e-05,4.01554e-05
8,235.185,0.80341,0.58935,1.01674,0.9134,0.79217,0.85647,0.71853,0.68615,0.40841,0.887,4.27716e-05,4.27716e-05,4.27716e-05
9,269.676,0.79309,0.56468,1.02006,0.90191,0.79712,0.86319,0.72674,0.68534,0.3996,0.89576,4.45631e-05,4.45631e-05,4.45631e-05
10,298.061,0.78787,0.58168,1.00638,0.91171,0.79628,0.8675,0.73547,0.66751,0.40623,0.89233,4.553e-05,4.553e-05,4.553e-05
11,330.355,0.7026,0.45994,0.94542,0.92394,0.80304,0.87061,0.7393,0.64525,0.39258,0.88267,4.56722e-05,4.56722e-05,4.56722e-05
12,362.372,0.69098,0.44241,0.93045,0.91739,0.80712,0.88379,0.74829,0.63721,0.38227,0.87458,4.49897e-05,4.49897e-05,4.49897e-05
13,391.334,0.68871,0.44185,0.94608,0.92108,0.81308,0.88828,0.7531,0.62564,0.37088,0.8725,4.34826e-05,4.34826e-05,4.34826e-05
14,428.988,0.70132,0.45352,0.94952,0.92649,0.81356,0.88913,0.75786,0.61647,0.36745,0.86921,4.11508e-05,4.11508e-05,4.11508e-05
15,459.047,0.7052,0.45036,0.93753,0.9345,0.8312,0.88929,0.77131,0.60919,0.35319,0.86534,3.6533e-05,3.6533e-05,3.6533e-05
16,489.669,0.66027,0.42805,0.9084,0.93987,0.8311,0.89416,0.77531,0.60571,0.34789,0.86011,3.06425e-05,3.06425e-05,3.06425e-05
17,521.76,0.63443,0.40499,0.91238,0.92115,0.84746,0.89887,0.77803,0.59444,0.3478,0.84974,2.4752e-05,2.4752e-05,2.4752e-05
18,553.864,0.66141,0.43102,0.90516,0.93239,0.84243,0.89944,0.78345,0.57313,0.33563,0.83956,1.88615e-05,1.88615e-05,1.88615e-05
19,581.252,0.63312,0.41614,0.92185,0.93606,0.8393,0.90003,0.78424,0.56522,0.32904,0.83742,1.2971e-05,1.2971e-05,1.2971e-05
20,611.258,0.60686,0.38097,0.88728,0.9363,0.83912,0.90027,0.78598,0.56089,0.326,0.83571,7.0805e-06,7.0805e-06,7.0805e-06
