epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.81561,0.95508,1.03473,1.14659,0.84569,0.71612,0.80971,0.66404,0.75385,0.58004,0.93159,2.975e-05,2.975e-05,2.975e-05
2,16.6184,0.9984,0.85471,1.14435,0.82386,0.75169,0.81402,0.6514,0.78453,0.64509,0.94303,5.76858e-05,5.76858e-05,5.76858e-05
3,24.4622,0.95132,0.79046,1.12833,0.7895,0.75806,0.81201,0.65332,0.76853,0.56713,0.94025,8.25586e-05,8.25586e-05,8.25586e-05
4,32.3596,0.91692,0.81834,1.09082,0.80194,0.7529,0.81293,0.6484,0.79717,0.58461,0.95832,0.000101329,0.000101329,0.000101329
5,40.1892,0.94779,0.77182,1.11345,0.83861,0.75683,0.82066,0.66039,0.79256,0.59041,0.95437,9.5438e-05,9.5438e-05,9.5438e-05
6,48.1,0.95976,0.79524,1.10537,0.87303,0.74151,0.82827,0.66348,0.78512,0.61455,0.94951,8.95475e-05,8.95475e-05,8.95475e-05
7,56.4814,0.92004,0.83102,1.11029,0.83515,0.77336,0.84153,0.67335,0.78353,0.59472,0.9533,8.3657e-05,8.3657e-05,8.3657e-05
8,64.8817,0.91586,0.81488,1.08917,0.87071,0.76757,0.83991,0.67216,0.76698,0.54238,0.95084,7.77665e-05,7.77665e-05,7.77665e-05
9,72.7505,0.87044,0.71449,1.03607,0.88462,0.77863,0.84831,0.68869,0.72666,0.50571,0.93634,7.1876e-05,7.1876e-05,7.1876e-05
10,81.0301,0.85957,0.68049,1.07078,0.90389,0.77996,0.85824,0.70584,0.70579,0.47609,0.92676,6.59855e-05,6.59855e-05,6.59855e-05
11,96.6298,0.79427,0.59332,0.99563,0.89494,0.79815,0.86721,0.71483,0.697,0.4577,0.91134,6.0095e-05,6.0095e-05,6.0095e-05
12,104.705,0.74219,0.54788,0.95811,0.89381,0.79686,0.86651,0.71842,0.68792,0.45855,0.89895,5.42045e-05,5.42045e-05,5.42045e-05
13,112.82,0.73708,0.57173,0.97827,0.88022,0.81412,0.86826,0.72816,0.67227,0.43481,0.89356,4.8314e-05,4.8314e-05,4.8314e-05
14,120.862,0.71331,0.51081,0.97382,0.92185,0.79899,0.87154,0.73517,0.65525,0.43905,0.88438,4.24235e-05,4.24235e-05,4.24235e-05
15,128.785,0.69951,0.4551,0.95396,0.92957,0.79698,0.86958,0.73922,0.64651,0.4401,0.88323,3.6533e-05,3.6533e-05,3.6533e-05
16,136.851,0.71948,0.47265,0.9556,0.8891,0.83349,0.87396,0.74299,0.63651,0.4348,0.88008,3.06425e-05,3.06425e-05,3.06425e-05
17,144.962,0.6505,0.41734,0.9188,0.88166,0.8412,0.87645,0.74788,0.62602,0.40754,0.87492,2.4752e-05,2.4752e-05,2.4752e-05
18,152.973,0.66128,0.44631,0.94743,0.88209,0.8396,0.87852,0.74973,0.61833,0.39218,0.86962,1.88615e-05,1.88615e-05,1.88615e-05
19,160.953,0.68372,0.44027,0.94069,0.8841,0.8392,0.87916,0.74991,0.61613,0.38933,0.86802,1.2971e-05,1.2971e-05,1.2971e-05
20,168.945,0.62241,0.40877,0.91999,0.89387,0.84408,0.88182,0.75104,0.61303,0.38643,0.86605,7.0805e-06,7.0805e-06,7.0805e-06
