epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.05169,1.18077,1.51143,1.16772,0.74421,0.62234,0.6946,0.54575,0.92825,0.7551,0.98838,5.95e-06,5.95e-06,5.95e-06
2,3.867,1.18767,1.33971,1.15907,0.72849,0.65069,0.70279,0.55021,0.92404,0.73635,0.98717,1.04982e-05,1.04982e-05,1.04982e-05
3,5.81224,1.09881,1.26453,1.1541,0.7047,0.66373,0.71124,0.55776,0.92085,0.71349,0.98664,1.22189e-05,1.22189e-05,1.22189e-05
4,7.63704,1.06837,1.13853,1.13538,0.70519,0.67484,0.71609,0.56395,0.91802,0.69586,0.98638,1.11122e-05,1.11122e-05,1.11122e-05
5,9.54383,1.03335,1.13896,1.14836,0.70932,0.67755,0.7155,0.56116,0.91448,0.68954,0.98476,7.17808e-06,7.17808e-06,7.17808e-06
