epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.5671,1.23027,1.7766,1.26651,0.64602,0.5358,0.59366,0.43633,1.0736,1.01746,1.0446,8.33e-06,8.33e-06,8.33e-06
2,3.49981,1.2951,1.70825,1.2636,0.66122,0.51775,0.60199,0.43934,1.07098,0.99368,1.04331,1.43157e-05,1.43157e-05,1.43157e-05
3,4.99416,1.25614,1.72893,1.24284,0.64019,0.52472,0.59814,0.44161,1.07103,0.99344,1.04317,1.65315e-05,1.65315e-05,1.65315e-05
4,6.56547,1.31184,1.62204,1.262,0.63328,0.5353,0.59871,0.44204,1.07203,0.987,1.04452,1.49773e-05,1.49773e-05,1.49773e-05
5,8.06818,1.22909,1.64044,1.21363,0.63507,0.53165,0.59674,0.44356,1.0754,0.98695,1.04756,9.65328e-06,9.65328e-06,9.65328e-06
