epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.31953,0.94244,0.93863,1.15256,0.85941,0.70418,0.80619,0.6676,0.75506,0.52566,0.9377,8.33e-06,8.33e-06,8.33e-06
2,26.1607,0.93825,0.76909,1.12566,0.81884,0.76808,0.82218,0.6717,0.75448,0.5712,0.93293,1.69664e-05,1.69664e-05,1.69664e-05
3,40.7391,0.91876,0.71679,1.11442,0.87181,0.76242,0.82661,0.68252,0.74433,0.55872,0.9277,2.46604e-05,2.46604e-05,2.46604e-05
4,57.4729,0.89059,0.67705,1.07774,0.85058,0.77505,0.83328,0.6826,0.74402,0.53182,0.92997,3.14118e-05,3.14118e-05,3.14118e-05
5,77.5099,0.85219,0.64213,1.06298,0.83583,0.78817,0.83846,0.69286,0.72345,0.4854,0.92335,3.72208e-05,3.72208e-05,3.72208e-05
6,98.4512,0.85132,0.62097,1.03515,0.90959,0.7779,0.84821,0.70549,0.73292,0.46846,0.9229,4.20873e-05,4.20873e-05,4.20873e-05
7,119.22,0.84314,0.61675,1.03674,0.91754,0.78379,0.85819,0.72361,0.71253,0.44134,0.9077,4.60114e-05,4.60114e-05,4.60114e-05
8,139.158,0.79481,0.60153,1.02377,0.91835,0.78928,0.86021,0.73065,0.69235,0.42154,0.89672,4.89929e-05,4.89929e-05,4.89929e-05
9,146.897,0.76894,0.53819,0.98982,0.915,0.78031,0.86035,0.72931,0.68922,0.42238,0.89552,5.1032e-05,5.1032e-05,5.1032e-05
10,162.099,0.82385,0.58686,1.02194,0.90904,0.80572,0.87146,0.73842,0.67465,0.41222,0.88424,5.21285e-05,5.21285e-05,5.21285e-05
11,187.179,0.7414,0.50616,0.96212,0.89122,0.81235,0.87397,0.73975,0.66104,0.39764,0.88057,5.22827e-05,5.22827e-05,5.22827e-05
12,200.749,0.69271,0.46434,0.93957,0.89264,0.82479,0.87836,0.74494,0.65112,0.38684,0.87588,5.14943e-05,5.14943e-05,5.14943e-05
13,218.464,0.71153,0.45374,0.9383,0.90459,0.8166,0.87812,0.7466,0.64939,0.38862,0.87582,4.8314e-05,4.8314e-05,4.8314e-05
14,239.401,0.71468,0.46173,0.93568,0.89809,0.82933,0.87972,0.75339,0.64644,0.38951,0.87525,4.24235e-05,4.24235e-05,4.24235e-05
15,266.694,0.67804,0.419,0.92629,0.9028,0.82145,0.881,0.75826,0.63383,0.37354,0.8684,3.6533e-05,3.6533e-05,3.6533e-05
16,284.329,0.68231,0.43244,0.91895,0.90133,0.82606,0.88227,0.7614,0.61776,0.36029,0.86203,3.06425e-05,3.06425e-05,3.06425e-05
17,303.411,0.63561,0.39926,0.91078,0.90769,0.8259,0.88506,0.7629,0.60669,0.35342,0.85717,2.4752e-05,2.4752e-05,2.4752e-05
18,319.99,0.6178,0.3991,0.89474,0.90395,0.83455,0.88363,0.76414,0.5955,0.349,0.8534,1.88615e-05,1.88615e-05,1.88615e-05
19,336.534,0.64282,0.38739,0.90892,0.89474,0.84452,0.88397,0.7657,0.58635,0.34493,0.84964,1.2971e-05,1.2971e-05,1.2971e-05
20,355.382,0.62044,0.38788,0.89616,0.89718,0.83676,0.8811,0.76653,0.58099,0.34098,0.84781,7.0805e-06,7.0805e-06,7.0805e-06
