epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.95868,0.9416,0.81573,1.02317,0.76584,0.69227,0.76383,0.59689,0.84914,0.65339,0.95415,8.33e-06,8.33e-06,8.33e-06
2,10.3695,0.90423,0.81572,1.03776,0.80283,0.69982,0.77709,0.61461,0.82303,0.61926,0.93629,1.60829e-05,1.60829e-05,1.60829e-05
3,13.517,0.88285,0.71184,1.00871,0.81724,0.72262,0.78612,0.63099,0.80312,0.60391,0.92622,2.19507e-05,2.19507e-05,2.19507e-05
4,16.6,0.88123,0.72438,1.01695,0.85334,0.71481,0.8026,0.65039,0.78311,0.58477,0.91371,2.59337e-05,2.59337e-05,2.59337e-05
5,19.6601,0.86485,0.66214,0.99052,0.83202,0.73841,0.81122,0.66156,0.76816,0.56138,0.90519,2.80316e-05,2.80316e-05,2.80316e-05
6,22.7444,0.84351,0.64748,0.97855,0.85542,0.75117,0.82074,0.66339,0.7627,0.53914,0.90208,2.82447e-05,2.82447e-05,2.82447e-05
7,25.8934,0.82761,0.60001,0.96651,0.85606,0.75748,0.8271,0.66956,0.75533,0.52266,0.89819,2.65727e-05,2.65727e-05,2.65727e-05
8,29.066,0.80922,0.57204,0.9502,0.8348,0.77356,0.83139,0.67477,0.74609,0.50437,0.89318,2.30158e-05,2.30158e-05,2.30158e-05
9,32.2588,0.82462,0.58438,0.96724,0.85115,0.77647,0.83121,0.67713,0.737,0.49638,0.89083,1.75739e-05,1.75739e-05,1.75739e-05
10,35.5738,0.76945,0.55693,0.94749,0.85818,0.77645,0.83499,0.68141,0.73385,0.49204,0.88995,1.02471e-05,1.02471e-05,1.02471e-05
