epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9876,1.57542,3.40781,1.41221,0.68247,0.57665,0.64468,0.47647,1.02681,0.92608,1.02723,3.93568e-05,3.93568e-05,3.93568e-05
2,26.0522,1.48477,3.06778,1.35921,0.70009,0.54898,0.63111,0.47196,1.04465,0.98305,1.03977,7.12001e-05,7.12001e-05,7.12001e-05
3,36.7273,1.43906,2.81951,1.34304,0.63429,0.57993,0.64659,0.48193,1.03662,0.96385,1.04427,9.51895e-05,9.51895e-05,9.51895e-05
4,47.4391,1.50923,2.77249,1.37244,0.63882,0.56467,0.62325,0.46746,1.03871,0.98667,1.04083,8.3657e-05,8.3657e-05,8.3657e-05
5,58.077,1.34399,2.44688,1.2627,0.67059,0.54963,0.61927,0.47107,1.03131,0.96337,1.03972,7.1876e-05,7.1876e-05,7.1876e-05
6,68.4973,1.32698,2.41225,1.28191,0.68712,0.54937,0.63475,0.48305,1.0323,0.92316,1.03308,6.0095e-05,6.0095e-05,6.0095e-05
7,79.0645,1.301,2.28294,1.22685,0.68761,0.55939,0.64462,0.48835,1.02079,0.90856,1.02259,4.8314e-05,4.8314e-05,4.8314e-05
8,89.9894,1.30758,2.11227,1.24085,0.70376,0.56164,0.64523,0.48743,1.01517,0.89544,1.02552,3.6533e-05,3.6533e-05,3.6533e-05
9,100.398,1.28202,2.09533,1.23983,0.70703,0.5514,0.64328,0.48298,1.00839,0.88878,1.01555,2.4752e-05,2.4752e-05,2.4752e-05
10,111.121,1.29892,2.07651,1.23734,0.70142,0.56722,0.65367,0.49134,1.01553,0.88464,1.02345,1.2971e-05,1.2971e-05,1.2971e-05
